,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,10.77,0.76,0.5,0.91,0.59,0.69,0.82,2.43,0.96,0.78,1.11,0.93,1.02,1.13,1.05,0.69
f_1,1.53,11.37,0.59,0.64,0.55,0.53,0.9,0.88,0.9,0.94,0.85,0.46,0.89,0.93,0.73,0.62
d_1,0.62,0.73,15.03,0.44,0.58,0.61,1.02,0.53,0.81,2.48,1.26,1.11,1.16,1.14,1.18,1.15
c_1,0.53,0.59,0.65,13.77,1.68,0.67,0.9,0.71,0.91,0.45,0.66,0.86,0.77,0.76,0.67,0.97
b_1,0.49,0.53,0.73,0.62,18.47,1.87,0.93,0.7,0.89,0.8,0.5,1.1,0.72,0.99,0.89,1.04
a_1,0.64,0.7,0.74,0.69,0.54,23.61,1.13,0.86,0.94,1.04,1.0,1.1,0.46,1.05,1.35,0.9
h_1,0.69,1.26,0.93,0.64,0.71,0.62,3.34,0.81,1.31,0.99,0.94,0.96,1.03,0.75,1.4,1.22
d_0,0.58,0.79,0.46,2.31,0.79,0.66,0.97,2.13,1.05,0.56,1.02,1.06,1.09,1.03,1.01,1.09
g_1,0.58,0.48,1.75,0.74,0.69,0.67,1.03,0.78,5.12,1.06,1.24,2.52,1.24,0.89,0.77,1.46
c_0,0.9,0.73,0.79,0.63,0.51,0.66,1.08,1.32,1.0,2.29,2.94,1.31,1.48,1.23,1.58,1.11
b_0,0.68,0.95,0.89,1.02,0.49,0.4,1.06,1.19,1.11,0.88,2.74,1.36,3.04,1.04,1.12,1.17
f_0,0.58,0.54,1.09,0.86,0.72,0.74,1.03,1.02,1.07,1.0,1.3,3.27,1.3,1.33,1.51,3.65
a_0,0.64,0.79,1.06,1.08,0.81,0.37,1.12,1.14,1.19,0.88,1.08,1.17,3.6,1.12,1.08,1.4
h_0,0.73,1.19,0.87,0.75,0.54,0.86,0.82,1.17,1.71,0.88,1.05,1.03,1.14,0.65,1.78,1.0
g_0,0.58,0.68,1.67,0.77,0.66,0.58,1.11,0.91,0.62,1.0,1.29,2.02,1.46,1.11,0.88,1.36
e_0,0.38,1.19,0.93,0.84,0.92,0.66,1.11,0.99,1.12,1.06,1.19,1.13,1.17,1.36,1.14,3.14
