,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,11.93,1.66,0.6,0.63,0.52,0.54,0.88,0.88,0.76,0.83,0.9,0.52,0.84,0.6,0.93,0.97
e_1,0.68,11.8,0.98,0.55,0.53,0.53,0.84,2.36,0.86,0.9,1.18,0.99,1.12,0.68,1.07,0.88
c_1,0.61,0.45,13.78,0.6,1.88,0.8,0.87,0.78,0.43,0.79,0.52,0.93,0.95,1.11,0.71,0.74
d_1,0.87,0.62,0.46,16.58,0.58,0.52,0.96,0.54,2.51,0.91,1.17,0.93,1.19,0.96,1.05,1.07
b_1,0.55,0.57,0.59,0.66,16.02,1.92,0.9,0.74,0.85,0.82,0.47,0.95,0.84,1.02,0.6,0.96
a_1,0.69,0.48,0.64,0.78,0.6,22.16,1.16,0.88,0.99,1.22,1.12,1.31,0.96,1.05,0.6,1.0
h_1,1.14,0.73,0.69,0.97,0.66,0.57,3.93,0.84,0.92,1.6,1.15,1.17,0.69,1.2,1.24,1.59
d_0,0.61,0.71,2.14,0.42,0.92,0.61,1.08,2.05,0.79,1.0,0.99,1.2,1.13,1.25,1.19,1.13
c_0,0.81,0.73,0.6,1.02,0.52,0.72,1.33,1.01,2.54,1.2,3.72,1.16,1.25,1.16,1.37,1.51
g_1,0.63,0.67,0.8,1.47,0.56,0.69,0.97,0.86,1.09,4.88,0.98,1.87,1.08,1.38,1.13,0.64
b_0,1.06,0.8,0.94,0.78,0.38,0.42,1.31,1.11,1.13,1.26,3.25,1.07,1.6,1.23,4.17,1.3
f_0,0.54,0.47,0.98,1.01,0.8,0.76,1.09,1.15,1.13,1.15,1.32,3.43,1.0,3.69,1.44,1.33
h_0,1.32,0.64,0.8,0.81,0.61,0.71,0.75,1.02,1.08,1.66,1.34,1.01,0.78,0.97,1.17,1.77
e_0,0.62,0.47,0.9,1.05,0.96,0.73,1.07,0.89,1.12,1.06,0.99,1.42,1.01,3.29,1.34,1.53
a_0,0.96,0.67,0.81,0.87,0.81,0.3,1.1,1.38,1.31,0.86,1.48,1.12,1.55,1.51,4.05,1.27
g_0,0.65,0.58,0.7,2.02,0.66,0.64,1.01,0.77,1.24,0.87,1.33,2.08,0.93,1.43,1.28,0.79
