,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.21,0.92,1.05,0.98,0.83,0.83,1.07,1.13,0.93,0.86,1.0,0.97,0.99,1.03,1.01
e_1,0.83,1.0,0.94,1.04,0.98,1.05,0.93,1.58,0.97,0.94,1.04,1.17,1.06,0.81,1.2,1.18
d_1,1.09,1.06,1.0,0.82,1.06,0.94,0.99,0.84,0.73,1.49,0.96,0.9,0.86,1.22,0.81,0.99
c_1,0.96,0.96,1.22,1.0,1.29,0.97,0.9,0.62,1.21,0.71,0.9,1.09,1.05,1.05,0.83,0.88
b_1,1.02,1.02,0.94,0.78,1.0,1.74,1.09,1.1,0.95,1.0,0.88,0.96,0.87,0.83,1.1,0.82
a_1,1.2,0.95,1.06,1.03,0.57,1.0,1.72,1.06,1.53,0.83,1.31,0.95,1.27,1.02,0.91,0.98
h_1,1.22,1.05,1.05,1.12,0.92,0.58,1.0,0.8,1.23,0.98,0.9,0.87,0.94,0.86,1.1,1.03
d_0,0.97,0.64,1.24,1.68,0.91,0.95,1.22,1.0,1.03,0.99,1.11,1.01,0.97,0.85,1.17,1.25
g_1,0.92,1.0,1.33,0.88,1.05,0.64,0.8,0.96,1.0,0.99,1.01,1.23,0.98,1.01,1.08,1.0
c_0,1.06,1.04,0.67,1.38,0.99,1.14,1.05,0.96,1.03,1.0,1.38,1.04,1.21,1.02,1.18,1.18
b_0,1.16,0.92,0.96,1.15,1.06,0.81,1.13,0.91,0.96,0.73,1.0,0.91,1.05,1.51,0.98,0.94
f_0,0.98,0.8,1.16,0.96,1.03,1.08,1.21,0.97,0.81,0.96,1.1,1.0,1.02,1.1,0.82,1.46
h_0,1.05,0.95,1.11,1.0,1.13,0.78,1.07,1.01,1.03,0.83,1.02,0.92,1.0,0.94,1.07,0.85
a_0,0.91,1.23,0.82,0.99,1.16,0.96,1.21,1.09,1.04,0.94,0.7,0.98,1.01,1.0,1.34,1.13
g_0,0.98,0.84,1.25,1.17,0.88,1.04,0.89,0.88,,0.86,1.07,1.22,0.9,0.82,1.0,0.86
e_0,1.05,0.81,0.93,1.24,1.19,0.89,0.95,0.88,1.03,0.92,1.13,0.7,1.17,0.94,1.14,1.0
