,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12.53,0.72,0.5,0.92,0.61,0.5,1.02,0.78,2.18,0.88,1.12,0.83,0.92,1.25,0.59,0.93
f_1,1.54,11.44,0.63,0.61,0.53,0.62,0.9,0.85,0.86,0.77,0.88,0.47,0.87,0.81,0.6,0.86
d_1,0.59,0.69,15.24,0.46,0.58,0.76,0.9,1.17,0.47,2.7,1.25,1.04,0.98,0.89,1.24,1.07
c_1,0.47,0.59,0.63,14.88,1.91,0.6,0.81,0.85,0.9,0.38,0.5,1.04,1.05,0.79,0.96,0.89
b_1,0.57,0.7,0.73,0.61,15.16,1.71,0.85,0.75,0.81,0.87,0.61,0.94,0.98,0.75,0.9,0.87
a_1,0.68,0.75,0.79,0.59,0.43,24.98,1.07,1.0,0.92,1.02,1.11,1.14,1.18,0.6,1.24,0.89
h_1,0.69,1.19,0.9,0.67,0.66,0.67,3.97,1.32,0.8,0.97,0.96,1.09,0.66,0.87,0.9,1.57
g_1,0.5,0.57,1.63,0.77,0.66,0.67,0.95,4.34,0.84,1.16,1.46,2.04,0.92,1.1,1.3,1.06
d_0,0.66,0.79,0.39,2.52,0.83,0.55,1.25,1.08,2.35,0.46,0.8,1.23,1.11,1.14,1.1,1.11
c_0,0.79,0.92,0.86,0.65,0.45,0.65,1.14,1.22,1.14,2.38,3.35,1.34,1.27,1.74,1.21,1.36
b_0,0.79,0.87,0.78,0.87,0.47,0.54,1.31,1.22,1.11,0.95,2.77,1.22,1.23,3.45,1.12,1.24
f_0,0.54,0.51,0.92,1.08,0.9,0.68,0.86,1.11,1.24,0.98,1.2,3.55,1.49,1.12,3.97,1.16
h_0,0.63,1.17,0.94,0.84,0.66,0.67,0.76,1.48,0.93,0.99,1.0,1.11,0.81,1.16,1.1,1.94
a_0,0.65,1.1,0.77,0.92,0.71,0.36,1.32,1.08,0.95,1.06,1.2,1.04,1.31,3.92,1.05,1.07
e_0,0.46,0.58,0.97,0.91,0.91,0.78,1.09,1.12,1.16,1.21,1.3,1.3,1.48,0.98,3.8,1.5
g_0,0.53,0.54,1.74,0.76,0.76,0.68,1.08,0.89,0.73,1.08,0.79,2.41,1.08,0.98,1.52,0.93
