,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,24.71,0.66,0.32,0.31,0.28,0.4,0.65,0.81,0.72,0.76,0.89,0.17,0.76,0.83,0.49,0.84
e_1,0.32,25.99,0.22,0.4,0.41,0.35,0.78,0.52,0.83,1.65,0.84,0.72,0.93,0.79,0.2,0.85
d_1,0.38,0.34,25.61,0.3,0.3,0.39,0.8,0.74,1.58,0.1,0.95,1.15,0.78,0.85,0.84,0.83
c_1,0.27,0.36,0.35,27.03,0.76,0.32,0.63,0.51,0.12,0.84,0.54,0.8,0.71,0.95,0.74,0.94
b_1,0.38,0.28,0.38,0.38,29.27,0.57,0.65,0.56,0.64,0.68,0.17,0.8,0.77,1.01,1.05,0.93
a_1,0.4,0.3,0.41,0.33,0.29,44.49,0.66,0.75,0.74,0.95,0.64,0.8,0.14,0.86,0.96,1.1
h_1,0.91,0.58,0.78,0.63,0.56,0.37,10.19,1.99,1.8,1.27,1.64,1.2,1.46,0.54,1.27,2.06
g_1,0.63,0.43,1.18,0.78,0.4,0.5,1.05,12.97,1.07,1.14,1.41,2.82,1.31,1.65,2.01,0.45
c_0,0.65,0.66,0.8,0.2,0.5,0.78,1.5,1.99,6.4,1.36,4.13,1.81,1.94,1.7,1.68,1.45
d_0,0.68,0.57,0.19,1.43,0.65,0.72,2.14,1.15,1.13,5.89,1.49,1.25,1.61,1.4,1.02,1.34
b_0,0.85,0.64,0.77,0.68,0.21,0.45,1.43,1.28,1.82,1.6,6.78,2.06,3.5,2.05,1.31,1.39
f_0,0.22,0.56,0.82,0.77,0.61,0.71,1.59,2.04,1.84,1.49,1.47,7.21,1.41,1.77,3.86,1.27
a_0,0.75,0.48,0.92,0.73,0.62,0.21,1.62,1.4,1.59,1.34,1.79,1.57,8.09,2.4,1.72,1.59
h_0,1.01,0.49,0.76,0.65,0.53,0.59,0.56,2.36,1.6,1.45,1.77,1.3,1.46,0.46,2.23,1.86
e_0,0.76,,0.85,0.8,0.5,0.76,2.12,1.91,1.51,1.67,2.08,1.58,1.26,1.81,11.9,1.84
g_0,0.55,0.6,1.32,0.6,0.55,0.64,1.43,0.63,1.42,0.86,1.51,2.19,1.5,1.37,1.64,0.5
