,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.9,1.13,0.91,1.03,0.69,0.71,0.51,0.69,0.66,0.68,,0.6,0.63,0.47,0.62
d_1,1.11,1.0,0.91,0.95,0.76,0.83,0.82,0.58,0.87,,0.57,0.77,0.51,0.53,0.53,0.56
e_1,0.88,1.09,1.0,0.81,0.99,0.79,0.75,0.68,0.64,0.89,0.55,0.58,0.62,0.46,0.66,
c_1,1.1,1.05,1.23,1.0,1.11,1.22,0.65,0.69,,0.54,0.56,0.64,0.58,0.59,0.63,0.54
b_1,0.97,1.32,1.01,0.9,1.0,1.35,0.78,0.67,0.69,0.68,,0.61,0.66,0.49,0.49,0.63
a_1,1.44,1.21,1.26,0.82,0.74,1.0,1.0,0.77,0.71,0.64,,,0.68,,0.6,
h_1,1.41,1.21,1.34,1.54,1.28,1.0,1.0,1.04,1.02,0.98,0.88,0.8,,0.62,1.06,0.84
g_1,1.97,1.73,1.47,1.45,1.49,1.3,0.96,1.0,0.94,0.67,1.04,0.98,0.8,1.08,,
c_0,1.45,1.15,1.56,,1.44,1.41,0.98,1.06,1.0,1.13,1.38,1.09,0.85,,0.94,0.66
d_0,1.52,,1.12,1.84,1.47,1.57,1.02,1.48,0.88,1.0,1.1,0.85,0.93,0.86,0.73,1.13
b_0,1.47,1.76,1.82,1.78,,,1.14,0.96,0.72,0.91,1.0,1.12,1.15,1.54,0.98,0.93
f_0,,1.3,1.74,1.56,1.65,,1.25,1.02,0.92,1.17,0.9,1.0,1.1,0.89,0.79,1.18
h_0,1.67,1.97,1.61,1.72,1.52,1.48,,1.25,1.18,1.08,0.87,0.91,,0.93,1.19,0.86
a_0,1.59,1.88,2.16,1.69,2.03,,1.61,0.93,,1.17,0.65,1.13,1.08,1.0,0.97,
g_0,2.15,1.9,1.52,1.58,2.04,1.68,0.95,,1.06,1.37,1.02,1.26,0.84,1.03,,1.08
e_0,1.6,1.77,,1.87,1.59,,1.19,,1.52,0.89,1.08,0.85,1.16,,0.93,1.0
