,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,90.31,20.59,15.69,17.7,32.42,81.59,1899.87,4366.59,4903.56,6406.71,6577.56,,20036.2,17520.34,29546.13,45029.38
e_1,9.29,107.64,13.85,16.59,22.09,59.2,1853.53,7455.13,5136.26,6917.08,5018.09,12329.11,17762.17,16727.77,,42893.54
c_1,10.02,11.76,133.23,16.38,35.77,68.68,1606.39,3554.34,3564.84,,6902.24,12575.24,21016.26,12919.36,22119.21,38557.71
d_1,8.85,11.63,15.24,149.68,23.53,63.17,1422.14,,3624.23,6267.12,6037.63,8464.9,21514.46,18528.6,16753.21,36810.15
b_1,8.93,10.84,10.32,14.53,202.01,89.82,1788.27,3222.83,3687.92,2813.38,,8850.95,18612.34,9902.28,15591.65,35803.36
a_1,5.72,6.53,9.37,10.92,13.16,475.48,1137.93,2651.95,,3514.51,3360.99,7007.77,9298.52,,,
h_1,5.72,5.25,7.61,9.95,9.68,28.78,2977.93,2186.73,2308.01,2578.44,3684.93,4446.29,,8825.65,14716.18,16184.32
d_0,4.48,4.38,9.58,,10.5,26.73,652.44,4572.21,1772.28,2111.91,2857.59,5122.16,11930.36,6620.31,12486.92,15820.92
g_1,2.8,3.89,6.13,7.62,8.46,,628.91,1360.55,6283.77,1990.01,2744.61,6995.17,5517.34,6627.77,8465.37,
c_0,3.26,3.75,,7.75,11.16,23.46,701.78,2128.33,1382.34,5425.79,4507.8,3883.41,8974.21,6545.81,10760.3,15465.99
b_0,4.03,4.5,5.38,6.87,,25.09,695.87,1571.09,1159.07,1587.62,6468.76,3857.5,7599.74,,10607.5,15976.51
f_0,,3.65,4.35,6.11,9.0,22.01,634.17,1142.67,1073.82,1177.92,1947.49,9922.85,7506.7,7838.39,18902.84,6900.1
h_0,4.06,4.41,4.55,5.75,7.69,28.72,,1196.41,1904.9,1472.9,2515.26,3016.77,,5853.52,8126.81,17680.79
a_0,2.87,3.13,4.54,3.31,7.57,,378.63,1349.14,1173.91,1752.51,,2034.9,6400.94,15590.52,,11720.2
e_0,1.51,,4.9,5.19,8.19,,380.19,940.67,995.96,1349.33,1470.89,2232.81,5341.75,,21574.26,
g_0,2.47,2.74,4.47,5.64,6.36,,588.26,1049.42,,1376.84,1576.97,4572.74,3813.52,3467.56,,
