,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.1,3.25,1.82,3.24,3.18,2.83,0.9,0.66,0.95,0.68,0.62,0.74,0.45,0.58,0.93,0.54
d_1,4.17,1.09,3.18,3.37,2.86,2.7,0.78,1.15,0.57,0.57,0.61,0.59,0.38,0.55,0.51,0.27
f_1,3.09,2.97,1.11,3.19,2.97,2.6,0.64,0.66,1.11,0.61,0.6,0.98,0.39,0.59,0.63,0.47
c_1,2.57,4.12,3.59,1.11,3.48,3.06,1.02,0.41,0.97,1.14,0.63,0.72,0.44,0.59,0.74,0.53
b_1,3.74,4.12,3.98,2.11,1.12,4.91,1.22,0.88,1.23,1.16,1.41,0.82,0.72,0.76,0.89,0.62
a_1,7.0,6.96,6.19,5.32,2.56,1.13,1.84,1.38,1.78,1.33,1.79,1.26,0.85,2.23,1.27,0.97
h_1,10.46,10.67,12.23,10.66,11.26,9.87,1.61,2.26,3.25,2.38,2.08,2.11,2.26,2.02,2.01,1.51
d_0,8.28,18.17,12.78,14.23,14.97,14.84,5.1,1.96,4.69,2.94,2.67,2.83,2.31,2.57,2.33,2.19
g_1,14.86,12.5,14.84,14.49,13.92,11.53,3.23,3.15,1.59,2.84,2.8,2.46,1.54,2.26,2.64,2.45
c_0,14.68,8.61,16.33,25.3,15.22,12.93,4.71,4.99,4.32,1.88,3.24,3.03,2.28,2.94,2.61,1.73
b_0,16.24,13.26,16.57,24.91,26.89,16.79,4.59,3.56,5.09,1.94,2.03,3.25,2.69,3.35,2.97,2.18
f_0,17.82,15.71,29.17,18.98,17.53,16.94,5.42,4.79,2.78,3.49,3.21,1.96,2.39,3.63,3.64,1.81
h_0,23.53,21.14,22.6,24.91,23.47,18.06,9.8,4.75,7.61,4.22,4.43,5.16,4.22,3.67,3.61,3.13
a_0,21.72,23.57,23.54,25.71,38.47,33.0,6.76,4.85,7.87,4.42,2.67,4.88,3.86,2.48,4.64,3.48
e_0,28.67,24.22,39.69,27.72,30.11,24.86,9.58,5.75,6.74,5.05,5.12,2.66,3.97,4.87,2.33,3.28
g_0,27.39,24.22,28.68,27.48,27.43,24.86,6.71,6.48,9.19,6.6,5.64,5.32,2.84,6.11,4.41,5.24
