,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.66,1.02,0.95,0.8,0.91,0.79,0.34,0.38,0.33,0.41,0.3,0.35,0.22,0.28,0.27,0.29
e_1,0.69,0.65,1.17,0.92,0.96,0.91,0.41,0.43,0.36,0.41,0.35,0.43,0.3,0.37,0.33,0.27
c_1,1.02,0.8,0.63,1.12,1.17,0.92,0.46,0.25,0.37,0.41,0.31,0.33,0.3,0.32,0.3,0.29
d_1,1.1,1.13,0.98,0.63,0.9,0.82,0.41,0.46,0.38,0.32,0.39,0.33,0.29,0.28,0.34,0.19
b_1,1.19,1.05,0.68,1.15,0.62,1.14,0.48,0.36,0.46,0.51,0.49,0.39,0.33,0.32,0.32,0.3
a_1,1.37,1.3,1.03,1.3,0.69,0.57,0.63,0.52,0.5,0.54,0.65,0.45,0.36,0.41,0.58,0.37
h_1,1.73,1.69,1.55,1.61,1.49,1.16,0.53,0.6,0.52,0.73,0.56,0.56,0.53,0.54,0.56,0.46
d_0,1.54,1.21,1.97,1.94,1.86,1.38,0.82,0.56,0.62,0.78,0.64,0.63,0.52,0.61,0.53,0.57
c_0,1.99,1.85,2.31,1.21,1.7,1.5,0.86,0.8,0.54,0.79,0.78,0.62,0.51,0.57,0.64,0.45
g_1,1.88,1.79,1.69,1.85,1.62,1.34,0.63,0.63,0.61,0.51,0.61,0.65,0.42,0.59,0.68,0.51
b_0,2.02,1.77,2.34,1.48,2.03,1.4,0.78,0.75,0.42,0.77,0.52,0.61,0.56,0.65,0.67,0.51
f_0,2.33,1.82,1.89,2.01,1.71,1.4,0.81,0.68,0.74,0.6,0.72,0.52,0.57,0.68,0.64,0.38
h_0,2.14,1.88,2.02,1.85,1.93,1.69,1.05,0.81,0.71,0.91,0.68,0.73,0.63,0.63,0.59,0.6
e_0,2.8,2.25,1.96,2.36,1.98,1.83,0.91,0.73,0.79,0.82,0.78,0.5,0.67,0.51,0.7,0.58
a_0,2.34,2.02,2.6,1.95,2.79,2.01,0.9,0.91,0.64,0.89,0.48,0.72,0.65,0.75,0.5,0.56
g_0,2.29,2.31,2.31,2.3,2.09,2.03,0.86,0.83,0.78,1.08,0.76,0.82,0.54,0.66,0.72,0.69
