,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.52,0.68,0.59,0.79,0.63,0.64,0.93,0.9,0.93,1.68,1.05,1.02,0.99,0.92,0.58,1.03
f_1,1.15,2.58,0.66,0.62,0.49,0.55,0.81,0.75,0.89,0.79,0.95,0.47,0.91,0.79,0.63,0.79
d_1,0.62,0.75,2.68,0.47,0.52,0.57,1.1,1.04,1.67,0.46,1.14,1.07,0.96,1.0,1.04,1.02
c_1,0.62,0.63,0.5,2.88,1.38,0.44,0.74,0.81,0.38,0.97,0.74,0.91,0.89,0.92,0.92,0.84
b_1,0.54,0.67,0.64,0.66,3.35,1.44,0.82,0.85,0.84,0.74,0.44,0.77,0.84,0.73,0.96,0.85
a_1,0.62,0.61,0.8,0.8,0.51,5.05,0.99,0.76,0.81,1.03,0.85,0.93,1.29,0.41,0.97,1.09
h_1,0.74,1.09,0.87,0.8,0.69,0.65,2.57,1.43,1.02,0.9,1.09,0.91,0.67,1.26,1.16,1.67
g_1,0.56,0.64,1.45,0.63,0.69,0.71,1.17,3.22,1.14,0.75,0.89,1.99,1.22,1.08,1.17,0.75
c_0,0.86,0.89,0.94,0.55,0.56,0.75,1.11,1.19,2.01,1.01,2.15,1.26,1.33,1.42,1.25,1.32
d_0,0.74,0.75,0.38,1.63,0.86,0.62,1.01,1.06,0.83,2.08,1.01,1.24,1.14,1.35,1.25,1.19
b_0,0.9,0.88,0.84,0.78,0.43,0.55,1.2,1.07,1.09,1.27,2.32,1.38,1.36,2.49,1.54,1.2
f_0,0.54,0.59,0.92,0.96,0.7,0.72,1.18,1.25,1.17,1.32,1.31,2.51,1.41,1.36,2.97,1.1
h_0,0.76,1.27,0.91,0.69,0.64,0.69,0.75,1.34,1.12,1.12,1.0,1.25,0.84,1.31,1.27,1.62
a_0,0.84,0.76,1.08,0.8,0.81,0.47,1.1,1.12,1.24,0.97,1.19,1.03,1.27,2.74,0.99,1.23
e_0,0.45,0.89,0.94,1.04,0.81,0.7,1.19,1.13,1.02,1.2,1.4,1.29,1.31,1.44,3.29,1.26
g_0,0.76,0.79,1.28,0.7,0.67,0.69,1.25,0.83,1.1,0.96,1.19,1.81,1.0,1.29,1.29,0.85
