,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,3.84,0.45,0.22,0.48,0.41,0.31,0.9,0.72,1.61,0.83,0.77,0.84,0.95,0.85,0.23,0.82
f_1,0.78,3.95,0.41,0.4,0.25,0.38,0.63,0.58,0.64,0.92,0.16,0.88,0.86,0.82,0.76,0.68
d_1,0.37,0.4,4.24,0.36,0.4,0.38,0.82,0.83,0.2,1.56,0.77,1.0,1.04,0.83,0.85,0.79
c_1,0.37,0.34,0.43,4.42,0.67,0.33,0.79,0.58,0.84,0.11,0.88,0.74,0.93,0.91,0.8,0.97
b_1,0.37,0.36,0.46,0.31,4.48,0.77,0.58,0.78,0.79,0.76,1.13,0.17,0.93,0.68,0.82,0.94
a_1,0.38,0.39,0.49,0.32,0.36,6.58,0.82,0.83,0.73,0.85,0.84,0.82,0.91,0.18,1.19,0.8
h_1,0.57,0.99,0.7,0.68,0.74,0.59,5.07,1.6,1.36,1.01,1.19,1.51,0.5,1.05,1.6,2.18
g_1,0.62,0.59,0.99,0.79,0.81,0.61,1.26,5.86,0.93,1.4,2.32,1.17,0.87,1.39,1.29,0.45
d_0,0.57,0.82,0.26,1.36,0.65,0.67,1.43,1.45,3.99,1.2,1.16,1.5,1.45,1.15,1.32,1.61
c_0,0.87,0.86,0.86,0.27,0.49,0.67,1.52,1.22,1.24,3.74,1.42,2.98,1.24,1.85,1.32,1.51
f_0,0.52,0.36,0.78,0.95,1.06,0.57,1.38,1.48,1.43,0.99,4.77,1.08,1.55,1.42,2.96,2.15
b_0,0.58,0.83,0.82,0.92,0.27,0.47,1.2,1.32,1.54,1.69,1.63,4.97,2.04,2.87,1.65,1.68
h_0,0.64,1.06,0.71,0.64,0.65,0.7,0.57,1.76,1.51,1.26,1.58,1.43,0.41,1.54,1.27,1.9
a_0,0.72,0.76,0.75,0.66,0.92,,1.17,1.7,1.19,1.31,1.63,1.24,1.57,7.06,1.34,2.12
e_0,0.18,0.9,1.0,0.71,0.66,0.71,1.58,1.44,1.62,1.68,1.4,1.46,1.83,1.43,6.6,1.51
g_0,0.49,0.65,1.3,0.7,0.65,0.63,1.1,0.67,1.09,1.26,2.62,1.42,1.47,0.91,1.64,0.74
