,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.42,0.88,0.77,0.83,0.7,0.68,0.35,0.49,0.34,0.35,0.37,0.51,0.25,0.28,0.35,0.4
e_1,0.52,0.41,0.89,0.92,0.87,0.98,0.48,0.51,0.35,0.45,0.35,0.49,0.3,0.61,0.43,0.34
d_1,0.88,0.85,0.4,0.8,0.76,0.77,0.44,0.3,0.43,0.48,0.38,0.34,0.3,0.36,0.3,0.23
c_1,0.79,0.67,0.94,0.37,1.08,0.76,0.41,0.46,0.46,0.22,0.33,0.33,0.27,0.38,0.35,0.29
b_1,0.95,0.91,0.74,0.48,0.37,0.94,0.44,0.46,0.42,0.41,0.47,0.35,0.41,0.38,0.36,0.32
a_1,0.96,0.79,0.82,0.83,0.53,0.29,0.47,0.48,0.41,0.43,0.46,0.39,0.37,0.38,0.61,0.33
h_1,0.8,0.69,0.75,0.73,0.74,0.6,0.25,0.4,0.32,0.31,0.29,0.35,0.33,0.29,0.31,0.34
g_1,0.69,0.67,0.77,0.7,0.78,0.79,0.35,0.23,0.29,0.32,0.31,0.37,0.22,0.32,0.32,0.28
c_0,0.82,0.86,0.44,1.14,0.66,0.64,0.44,0.45,0.25,0.52,0.46,0.33,0.29,0.34,0.32,0.26
d_0,0.72,0.46,0.97,0.9,0.77,0.72,0.45,0.45,0.28,0.24,0.32,0.31,0.27,0.41,0.39,0.3
b_0,0.72,0.63,0.66,0.97,0.97,0.67,0.44,0.39,0.19,0.35,0.24,0.3,0.29,0.32,0.38,0.27
f_0,1.01,0.57,0.71,0.85,0.66,0.75,0.38,0.26,0.31,0.36,0.32,0.23,0.29,0.52,0.33,0.18
h_0,0.74,0.71,0.71,0.79,0.63,0.73,0.49,0.43,0.3,0.31,0.29,0.29,0.34,0.27,0.3,0.26
e_0,1.11,0.8,0.62,0.83,0.74,0.56,0.47,0.4,0.28,0.29,0.31,0.18,0.33,0.2,0.3,0.24
a_0,0.77,0.67,0.73,0.88,0.83,0.77,0.36,0.39,0.28,0.34,0.18,0.28,0.28,0.29,0.2,0.27
g_0,0.76,0.69,0.79,0.75,0.73,0.72,0.27,0.46,0.31,0.3,0.32,0.35,0.25,0.3,0.26,0.35
