,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.51,1.19,0.44,0.43,0.51,0.45,0.86,0.7,0.7,0.9,0.91,0.26,0.84,0.84,0.71,1.01
e_1,0.6,16.24,0.64,0.47,0.44,0.57,0.95,2.28,0.89,1.17,0.95,1.15,0.86,0.87,0.7,0.87
c_1,0.48,0.52,18.85,0.53,1.17,0.49,0.7,0.75,0.66,0.27,0.84,0.9,0.86,0.87,0.77,0.89
d_1,0.59,0.44,0.44,21.42,0.46,0.57,0.82,0.46,1.1,1.83,1.14,0.78,1.14,1.06,0.77,1.11
b_1,0.58,0.42,0.5,0.61,21.55,1.18,0.95,0.64,0.74,0.65,0.25,1.05,0.93,0.63,0.7,1.15
a_1,0.51,0.41,0.58,0.59,0.56,33.79,0.95,0.97,0.88,0.93,0.87,1.28,0.97,0.39,1.28,0.71
h_1,1.06,0.6,0.68,0.73,0.54,0.54,5.4,1.07,1.53,1.16,1.54,1.0,0.68,1.09,1.32,1.47
d_0,0.6,0.53,2.02,0.34,0.53,0.7,1.04,3.07,1.28,1.0,1.48,1.22,1.45,1.32,1.41,1.02
g_1,0.54,0.56,0.74,1.29,0.78,0.5,0.92,0.81,7.15,0.81,1.18,2.48,1.27,1.36,1.26,0.64
c_0,0.64,0.61,0.44,0.91,0.53,0.54,1.39,1.2,1.31,3.73,3.37,1.11,1.58,1.55,1.42,1.09
b_0,0.83,0.68,0.89,0.75,0.3,0.46,1.38,1.25,1.14,0.98,3.95,1.36,1.63,3.21,1.64,1.19
f_0,0.32,0.54,0.9,0.82,0.75,0.45,1.24,1.34,1.33,1.01,1.25,4.71,1.85,2.13,4.5,0.99
h_0,1.26,0.71,0.61,0.76,0.63,0.69,0.81,0.94,1.6,0.95,1.37,1.15,0.56,1.25,1.54,1.79
a_0,0.68,0.71,0.92,0.72,0.71,0.27,1.19,1.26,1.14,1.2,0.84,1.42,1.54,5.19,1.44,1.33
e_0,0.51,0.29,0.9,1.26,0.8,0.69,1.02,1.04,1.52,1.56,1.19,1.1,1.8,1.26,5.35,1.0
g_0,0.57,0.59,0.77,1.28,0.65,0.65,1.15,0.92,0.78,1.1,1.04,2.4,1.11,1.13,1.35,0.69
