,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.04,1.07,1.47,1.65,1.51,1.46,0.59,0.53,0.6,0.44,0.41,0.58,0.34,0.41,0.38,0.47
f_1,1.75,1.05,1.43,1.65,1.5,1.23,0.46,0.51,0.61,0.44,0.43,0.48,0.28,0.35,0.36,0.31
d_1,1.82,1.73,1.04,1.5,1.47,1.26,0.57,0.62,0.44,0.54,0.53,0.41,0.36,0.39,0.24,0.37
c_1,1.42,1.64,1.87,1.05,1.76,1.31,0.61,0.35,0.5,0.47,0.41,0.43,0.36,0.42,0.37,0.38
b_1,1.73,1.92,1.85,1.21,1.05,1.52,0.76,0.54,0.63,0.57,0.57,0.51,0.39,0.49,0.37,0.44
a_1,2.24,2.73,2.49,2.26,1.55,1.06,1.06,0.77,0.91,0.73,0.96,0.68,0.61,0.95,0.55,0.65
h_1,4.28,4.92,4.35,4.32,3.98,3.48,1.24,1.52,1.65,1.33,1.21,1.19,1.19,1.11,1.15,1.09
d_0,3.7,4.57,5.33,5.87,4.96,4.34,1.72,1.33,1.89,1.31,1.49,1.46,1.31,1.31,1.38,1.34
g_1,5.25,5.38,5.59,5.74,5.34,4.14,1.61,1.72,1.25,1.46,1.42,1.61,1.0,1.26,1.4,1.29
c_0,5.72,5.84,3.82,7.33,5.35,4.44,2.04,2.26,1.95,1.37,1.93,1.62,1.35,1.48,1.18,1.47
b_0,6.05,6.12,5.23,7.45,6.37,4.62,2.27,1.96,2.1,1.16,1.38,1.66,1.44,1.59,1.38,1.49
f_0,5.81,7.55,6.25,6.32,5.67,4.87,2.3,1.98,1.54,1.6,1.6,1.36,1.35,1.39,1.06,1.7
h_0,7.66,7.83,6.9,7.19,7.02,5.74,2.94,2.07,2.62,1.87,1.81,1.96,1.77,1.78,1.66,1.8
a_0,8.3,8.04,7.75,8.88,9.09,6.41,2.79,2.59,2.56,1.96,1.48,2.0,1.78,1.42,1.98,1.9
g_0,8.02,8.85,8.86,7.63,8.02,6.68,2.26,2.66,2.93,2.43,2.26,2.3,1.62,1.75,1.84,1.91
e_0,9.35,13.23,7.58,8.23,7.11,6.35,3.17,2.71,2.8,2.4,2.58,1.44,1.93,2.16,1.7,1.48
