,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.97,0.81,1.12,0.91,0.67,0.53,0.59,0.43,0.53,0.44,0.46,0.34,0.36,0.37,0.34
d_1,1.02,1.0,1.08,0.93,0.85,0.71,0.47,0.49,0.54,0.36,0.46,0.37,0.36,0.27,0.35,0.33
f_1,1.27,0.92,1.0,1.04,0.83,0.7,0.41,0.45,0.41,0.44,0.38,0.36,0.33,0.34,0.27,0.3
c_1,0.9,1.07,0.97,1.0,1.24,0.76,0.51,0.31,0.43,0.44,0.33,0.38,0.35,0.32,0.32,0.27
b_1,1.09,1.18,1.16,0.81,1.0,1.23,0.58,0.46,0.5,0.48,0.44,0.43,0.43,0.38,0.35,0.32
a_1,1.44,1.41,1.44,1.34,0.84,1.0,0.7,0.63,0.56,0.61,0.65,0.57,0.5,0.47,0.46,0.4
h_1,1.94,2.15,2.41,1.93,1.67,1.33,1.0,0.85,0.83,1.01,0.8,0.75,0.68,0.71,0.61,0.62
d_0,1.69,2.04,2.21,3.15,2.23,1.52,1.22,1.0,0.8,1.08,0.91,0.87,0.78,0.69,0.72,0.72
c_0,2.41,1.89,2.49,2.47,1.99,1.68,1.14,1.24,1.0,0.93,1.19,0.93,0.87,0.72,0.75,0.8
g_1,1.87,2.71,2.24,2.23,2.14,1.62,1.0,0.97,1.01,1.0,1.01,1.03,0.71,0.74,0.78,0.69
b_0,2.34,2.16,2.79,2.87,2.26,1.48,1.24,1.05,0.83,0.99,1.0,0.87,0.85,0.82,0.69,0.97
f_0,2.17,2.62,2.66,2.63,2.34,1.73,1.31,1.15,1.09,0.96,1.14,1.0,0.92,0.74,1.01,0.82
h_0,2.88,2.73,3.09,2.9,2.36,1.91,1.42,1.29,1.1,1.42,1.13,1.11,1.0,1.04,0.8,0.81
g_0,2.75,3.69,2.97,3.19,2.64,2.06,1.37,1.38,1.32,1.36,1.19,1.39,0.95,1.0,0.99,0.9
e_0,2.85,2.93,3.73,3.11,2.79,2.08,1.59,1.38,1.35,1.22,1.4,1.02,1.19,1.02,1.0,0.99
a_0,3.12,2.97,3.41,3.73,2.98,2.66,1.72,1.4,1.22,1.52,1.08,1.27,1.25,1.12,0.99,1.0
