,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.12,4.15,3.71,4.47,4.51,3.7,0.91,1.2,0.83,0.87,0.88,1.54,0.53,0.88,0.69,1.0
d_1,5.0,1.11,4.89,4.74,4.41,3.8,1.25,0.84,0.85,2.45,0.76,0.86,0.6,1.03,0.46,0.79
e_1,2.71,4.85,1.12,5.1,5.26,4.14,1.44,1.62,1.12,1.04,1.01,1.09,0.65,0.9,0.82,1.64
c_1,4.69,6.6,4.41,1.12,4.93,5.84,1.51,1.57,1.83,0.57,0.91,1.05,0.74,0.95,0.68,1.05
b_1,6.27,5.52,6.19,2.99,1.13,6.24,1.69,1.67,1.48,1.21,3.08,1.19,0.95,1.37,0.92,1.18
a_1,8.05,7.37,8.2,7.61,3.73,1.14,2.25,2.39,1.55,1.58,2.35,1.5,1.02,3.95,1.16,1.27
h_1,14.67,12.41,14.66,15.03,13.99,13.13,1.71,3.95,2.98,3.3,3.06,2.84,3.07,2.67,1.96,2.67
g_1,24.52,17.7,17.93,20.48,18.38,16.66,4.16,1.79,3.33,3.32,3.29,3.25,2.18,3.5,3.43,3.68
c_0,19.53,10.5,19.66,39.12,23.43,21.66,5.66,5.39,2.22,5.54,4.04,4.42,2.68,4.12,2.44,3.97
d_0,20.07,33.21,11.27,23.84,24.03,22.33,7.26,7.43,4.63,2.37,4.01,4.34,3.05,3.99,3.17,4.9
b_0,27.47,17.52,22.76,35.89,49.33,22.56,6.41,5.56,2.36,4.51,2.26,4.38,3.32,4.95,3.5,4.36
f_0,38.86,21.39,22.32,27.49,24.45,25.79,7.02,4.38,4.6,4.83,4.27,2.26,3.63,3.6,2.22,4.01
h_0,28.1,30.06,25.44,34.28,32.32,24.9,13.94,7.2,5.94,6.16,5.4,5.88,6.97,4.58,4.61,5.04
a_0,36.9,29.8,33.92,36.32,44.63,49.23,9.05,8.44,5.88,7.19,3.06,6.38,4.49,2.46,4.04,6.54
g_0,40.59,26.62,34.6,35.07,39.61,32.82,7.98,14.55,6.87,7.11,6.22,6.71,3.45,6.29,7.0,6.19
e_0,48.71,33.85,62.91,34.28,30.9,37.34,10.58,8.34,6.1,6.43,7.25,3.42,5.04,5.62,4.18,2.43
