,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.52,0.74,0.65,0.81,0.64,0.56,0.83,0.9,1.46,0.94,0.92,0.94,0.76,1.07,0.88,0.74
f_1,1.08,1.52,0.77,0.74,0.58,0.62,0.87,0.8,0.85,0.73,0.86,0.51,0.76,0.73,0.94,0.47
d_1,0.79,0.83,1.54,0.65,0.69,0.62,0.91,0.79,0.56,1.38,1.01,0.84,0.78,0.94,0.75,0.65
c_1,0.75,0.82,0.77,1.55,1.12,0.45,0.83,0.72,0.75,0.52,0.62,0.79,0.73,0.98,0.86,0.72
b_1,0.81,0.86,0.8,0.65,1.63,1.01,0.81,0.77,0.79,0.8,0.57,0.9,0.73,0.95,0.76,0.68
a_1,0.76,0.81,0.84,1.04,0.6,1.79,1.16,0.91,1.0,0.97,0.95,0.89,0.56,1.15,0.93,1.02
h_1,1.04,1.23,0.94,0.98,0.98,0.54,1.75,1.31,1.14,1.2,1.17,1.06,0.96,1.1,1.36,1.0
g_1,0.92,0.81,1.34,1.1,0.87,0.82,1.05,1.78,0.99,1.23,1.03,1.58,0.96,1.03,0.9,1.08
d_0,0.84,1.07,0.91,1.57,0.88,0.76,1.09,1.21,1.64,0.88,1.12,1.23,0.9,1.29,1.11,1.1
c_0,0.96,1.24,0.98,0.92,0.75,0.83,1.09,1.15,1.27,1.65,1.89,1.31,1.22,1.42,1.11,0.95
b_0,0.98,1.17,1.02,1.24,0.73,0.86,1.16,1.29,1.18,0.99,1.72,1.3,1.77,1.44,1.35,1.02
f_0,0.81,0.91,1.24,1.16,0.93,0.84,1.43,1.2,1.26,1.21,1.22,1.74,1.21,1.46,1.02,1.81
a_0,1.07,1.15,1.33,1.08,0.99,0.6,1.32,1.3,1.25,1.09,1.2,1.23,1.74,1.18,1.34,1.19
h_0,0.97,1.52,1.17,1.05,0.98,0.8,0.93,1.41,1.07,1.12,1.11,1.05,1.2,0.99,1.5,0.93
g_0,1.0,1.04,1.52,0.96,1.12,0.8,1.13,1.24,1.35,1.35,1.14,1.81,1.16,1.4,1.06,1.18
e_0,0.71,1.52,1.26,1.28,1.13,0.82,1.36,1.18,1.27,1.31,1.16,1.11,1.07,1.34,1.25,1.77
