,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.99,1.03,0.86,1.24,0.67,0.5,0.47,0.31,0.31,0.41,0.3,0.36,0.34,0.3,0.3
f_1,1.02,1.0,0.96,1.26,0.87,0.61,0.43,0.47,0.45,0.39,0.34,0.37,0.28,0.23,0.32,0.32
d_1,0.97,1.04,1.0,1.02,0.93,0.75,0.51,0.37,0.44,0.55,0.37,0.45,0.34,0.34,0.31,0.27
e_1,1.18,0.79,0.98,1.0,1.0,0.77,0.52,0.53,0.61,0.42,0.46,0.39,0.37,0.4,0.35,0.38
b_1,0.8,1.16,1.09,0.99,1.0,1.21,0.6,0.49,0.46,0.5,0.41,0.43,0.39,0.34,0.33,0.34
a_1,1.5,1.6,1.3,1.28,0.83,1.0,0.66,0.75,0.62,0.62,0.54,0.62,0.48,0.54,0.51,0.48
h_1,2.0,2.29,1.97,1.99,1.72,1.48,1.0,0.97,0.84,0.79,0.76,0.76,0.64,0.57,0.6,0.74
g_1,2.13,2.11,2.62,1.85,2.03,1.38,1.01,1.0,0.92,0.86,1.1,0.81,0.61,0.76,0.67,0.74
d_0,3.12,2.24,2.35,1.61,2.3,1.63,1.17,1.04,1.0,0.72,1.01,0.79,0.74,0.77,0.81,0.77
c_0,3.36,2.53,1.84,2.32,1.92,1.6,1.27,1.16,1.31,1.0,0.96,1.32,0.88,0.88,0.91,0.78
f_0,2.6,2.9,2.65,2.21,2.41,1.79,1.34,0.94,1.06,1.07,1.0,1.11,0.87,1.21,0.97,0.69
b_0,3.26,2.81,2.22,2.47,2.29,1.6,1.32,1.19,1.2,0.77,0.88,1.0,0.94,0.92,1.21,0.8
h_0,2.84,3.53,2.87,2.74,2.56,1.98,1.54,1.67,1.32,1.17,1.18,1.06,1.0,0.93,1.05,1.05
e_0,3.03,4.31,2.91,2.77,2.84,2.05,1.62,1.26,1.27,1.09,0.89,1.07,1.14,1.0,1.03,0.91
a_0,3.18,3.06,3.26,2.86,3.01,2.05,1.56,1.52,1.26,1.09,0.99,0.86,0.97,0.95,1.0,0.97
g_0,3.28,3.04,3.65,2.61,2.9,2.06,1.35,1.34,1.3,1.33,1.47,1.22,0.95,1.09,1.06,1.0
