,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.66,1.47,1.14,1.5,1.18,1.11,0.44,0.57,0.45,0.49,0.41,0.58,0.4,0.28,0.38,0.42
e_1,0.88,0.65,1.27,1.34,1.57,1.26,0.66,0.69,0.52,0.59,0.5,0.55,0.58,0.43,0.86,0.42
d_1,1.42,1.6,0.65,1.29,1.15,1.2,0.53,0.43,0.52,0.75,0.48,0.45,0.4,0.35,0.42,0.25
c_1,1.29,1.19,1.5,0.64,1.51,1.17,0.6,0.51,0.65,0.32,0.45,0.43,0.45,0.42,0.38,0.39
b_1,1.64,1.25,1.53,0.84,0.63,1.63,0.65,0.72,0.67,0.54,0.76,0.48,0.46,0.5,0.63,0.45
a_1,1.59,1.68,1.55,1.79,1.06,0.58,0.95,0.84,0.58,0.64,0.76,0.58,0.89,0.49,0.6,0.48
h_1,2.31,1.87,1.9,2.29,2.17,1.62,0.56,1.07,0.69,0.67,0.79,0.67,0.6,0.72,0.6,0.6
g_1,2.46,2.22,2.26,2.64,2.11,1.83,0.74,0.53,0.71,0.76,0.76,0.73,0.69,0.44,0.75,0.73
c_0,2.57,2.34,1.42,3.58,1.93,1.66,0.98,1.23,0.59,1.06,0.98,0.73,0.81,0.7,0.87,0.64
d_0,2.26,1.36,2.99,2.74,2.16,1.97,1.05,1.16,0.76,0.61,0.85,0.81,0.75,0.69,0.7,0.82
b_0,2.43,2.09,2.04,3.18,2.81,2.01,1.01,0.98,0.52,0.84,0.58,0.79,0.98,0.65,0.78,0.58
f_0,3.33,2.29,2.19,3.0,2.29,2.12,1.15,0.77,0.86,0.95,0.79,0.58,0.82,0.79,0.98,0.55
a_0,2.85,2.34,2.42,2.61,3.11,2.83,1.3,1.18,0.79,0.95,0.55,0.85,0.57,0.9,0.88,0.71
h_0,3.17,2.54,2.53,2.7,2.14,2.25,1.44,1.29,0.9,1.03,0.87,0.83,0.75,0.98,0.84,0.84
e_0,4.09,2.95,2.56,3.24,2.3,2.16,1.29,1.04,0.97,1.18,1.01,0.55,0.84,0.7,0.54,0.69
g_0,2.75,2.64,3.27,2.77,2.52,2.18,0.96,1.56,1.05,0.95,0.97,1.12,1.07,0.67,0.84,0.96
