,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.23,0.89,1.05,0.89,1.05,0.85,0.84,1.01,1.02,0.96,0.83,0.88,0.97,1.08,0.87
e_1,0.83,1.0,0.96,1.25,1.04,0.93,1.04,0.98,1.1,1.34,0.99,1.22,1.0,1.0,1.01,0.99
d_1,1.09,1.03,1.0,0.9,0.99,0.84,0.99,1.27,0.84,0.97,1.06,0.96,1.03,0.94,0.86,1.04
c_1,1.0,0.8,1.1,1.0,1.34,1.04,1.04,0.93,0.94,0.76,0.88,1.0,0.99,0.89,0.99,0.98
b_1,1.13,0.99,1.0,0.75,1.0,1.34,1.11,1.16,1.06,0.95,1.07,1.04,1.08,0.93,1.02,0.98
a_1,0.97,1.05,1.15,0.99,0.76,1.0,1.06,1.06,1.15,1.05,1.12,1.05,1.16,1.29,1.18,1.05
h_1,1.15,0.96,1.03,0.93,0.88,0.92,1.0,0.91,1.14,1.01,1.06,0.89,1.05,0.95,1.13,0.99
c_0,1.14,1.02,0.8,1.08,0.84,0.97,1.09,1.0,1.0,1.17,1.33,1.02,1.1,1.14,1.06,1.04
g_1,0.97,0.9,1.19,1.13,0.92,0.88,0.88,0.95,1.0,0.89,0.96,1.11,0.81,1.08,0.88,1.07
d_0,0.95,0.73,1.02,1.29,1.1,0.93,1.06,0.83,1.13,1.0,0.96,1.01,1.02,1.03,1.04,1.05
b_0,1.0,1.03,0.93,1.12,0.95,0.86,0.98,0.76,0.99,0.99,1.0,0.96,1.02,1.45,1.03,0.94
f_0,1.13,0.83,1.07,0.98,0.93,0.92,1.16,0.98,0.89,0.93,0.99,1.0,0.95,1.15,0.85,1.4
h_0,1.11,1.01,1.01,0.99,0.91,0.86,1.0,0.9,1.24,0.96,0.94,0.96,1.0,0.95,1.1,0.89
a_0,1.05,1.0,1.0,1.12,1.04,0.85,1.15,0.92,0.89,1.0,0.71,0.92,1.09,1.0,0.93,1.04
g_0,0.91,0.94,1.15,1.0,1.01,0.84,0.88,0.96,1.1,0.94,0.96,1.22,0.91,1.01,1.0,1.08
e_0,1.16,1.05,0.99,1.0,1.0,0.96,1.04,0.93,0.86,0.88,0.94,0.73,1.08,1.03,0.93,1.0
