,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.04,1.14,1.72,1.45,1.42,1.29,0.54,0.58,0.58,0.45,0.41,0.52,0.32,0.37,0.46,0.33
f_1,1.63,1.05,1.53,1.27,1.37,1.15,0.43,0.49,0.53,0.42,0.41,0.48,0.28,0.38,0.34,0.37
c_1,1.42,1.63,1.05,1.93,1.78,1.41,0.65,0.36,0.63,0.61,0.45,0.44,0.39,0.37,0.39,0.38
d_1,1.85,1.98,1.64,1.04,1.5,1.28,0.63,0.63,0.42,0.55,0.52,0.47,0.39,0.46,0.42,0.25
b_1,1.88,1.94,1.19,1.97,1.05,2.08,0.72,0.48,0.69,0.71,0.65,0.57,0.45,0.49,0.44,0.36
a_1,2.41,2.63,1.94,2.62,1.34,1.06,1.01,0.73,0.99,0.78,0.8,0.62,0.58,0.75,0.6,0.5
h_1,4.27,5.09,4.55,4.37,4.4,3.23,1.22,1.31,1.55,1.29,1.15,1.33,1.18,1.16,1.03,0.93
d_0,3.44,4.82,5.65,6.12,5.58,4.06,1.96,1.35,1.76,1.62,1.52,1.46,1.39,1.25,1.53,1.21
g_1,4.89,5.24,4.7,5.36,4.59,3.84,1.79,1.57,1.26,1.62,1.51,1.47,1.03,1.34,1.29,1.02
c_0,5.75,6.16,6.13,3.59,5.04,3.8,1.99,2.04,1.62,1.3,1.78,1.5,1.45,1.43,1.31,1.05
b_0,5.97,6.3,7.71,4.68,6.46,4.18,2.25,1.92,1.74,1.17,1.35,1.53,1.3,1.66,1.29,1.29
f_0,5.57,7.23,6.09,5.54,5.33,5.61,2.24,1.8,1.52,1.71,1.57,1.33,1.38,1.47,1.61,0.84
h_0,7.25,7.6,6.97,6.21,5.99,5.68,2.87,2.15,2.53,1.76,2.02,1.93,1.71,1.6,1.55,1.35
a_0,8.11,7.58,9.17,6.59,8.54,5.92,2.47,2.84,2.43,1.85,1.45,2.03,1.85,1.42,1.82,1.5
e_0,9.42,10.16,8.14,7.36,7.94,6.89,3.21,2.36,2.47,2.17,2.46,1.54,2.09,1.88,1.47,1.48
g_0,8.86,8.46,9.07,9.56,8.56,7.17,2.97,2.63,3.7,2.59,2.42,3.09,1.85,2.58,2.14,2.01
