,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.86,2.55,4.32,2.82,2.71,2.79,8.81,9.44,11.99,14.39,13.2,9.22,18.98,12.83,9.82,16.54
d_1,3.02,6.24,2.67,2.45,2.88,2.8,11.11,10.62,22.28,8.56,18.36,14.63,18.97,15.54,15.42,21.23
e_1,3.03,2.32,6.33,3.47,2.95,2.76,10.8,10.32,11.89,22.64,13.86,13.06,20.02,15.17,11.36,21.33
c_1,2.57,2.64,2.63,7.16,5.0,3.17,9.4,9.42,8.45,13.23,10.66,14.11,19.65,14.02,14.38,20.67
b_1,2.73,3.12,2.59,2.97,7.98,5.56,10.04,9.53,11.86,12.97,9.42,13.5,20.43,11.1,14.1,20.58
a_1,3.2,3.26,2.69,3.09,2.88,10.97,10.14,11.37,12.18,10.94,14.74,13.73,23.31,9.73,15.5,21.06
h_1,3.77,3.28,2.73,3.21,2.87,2.51,19.08,14.46,13.29,12.57,12.92,15.36,17.69,13.78,15.13,27.12
g_1,2.78,4.37,2.68,3.21,3.14,2.57,11.89,21.86,13.31,11.24,14.73,20.28,20.06,18.2,16.55,20.19
c_0,3.46,3.2,3.11,2.51,2.48,3.4,13.03,11.53,20.65,12.84,25.93,14.27,23.02,19.64,16.14,23.61
d_0,3.08,2.14,2.86,5.37,3.53,2.77,10.22,10.91,7.89,21.09,11.97,15.47,19.67,15.84,15.21,19.96
b_0,3.22,3.01,3.21,3.19,2.6,2.89,11.88,12.56,14.97,14.85,22.41,16.28,21.95,29.87,15.71,24.36
f_0,2.61,3.33,2.56,3.58,3.13,2.99,13.05,11.98,14.27,11.91,15.61,25.85,24.33,15.63,28.47,26.47
h_0,3.84,3.15,3.08,3.16,3.18,2.99,9.07,14.15,11.86,12.81,14.45,13.59,17.35,15.79,15.04,28.13
a_0,3.29,3.03,2.99,3.03,3.0,2.55,12.64,11.75,14.4,13.03,14.73,15.4,25.44,28.56,16.6,25.19
e_0,3.12,3.1,2.09,3.48,3.27,3.28,12.28,11.45,14.44,13.38,14.47,15.54,21.14,14.29,30.91,24.59
g_0,3.06,4.31,2.26,2.67,3.31,3.08,11.26,9.33,15.07,9.5,15.16,21.7,19.91,16.03,18.4,18.08
