,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.65,0.38,0.37,0.36,0.27,0.25,0.23,0.25,0.27,0.23,0.12,0.2,0.16,0.16,0.22
e_1,0.43,0.94,0.39,0.51,0.35,0.29,0.32,0.27,0.22,0.41,0.25,0.26,0.26,0.18,0.15,0.22
d_1,0.46,0.43,0.94,0.3,0.38,0.31,0.29,0.46,0.22,0.21,0.3,0.25,0.28,0.21,0.21,0.2
c_1,0.42,0.37,0.45,0.94,0.74,0.23,0.28,0.14,0.24,0.19,0.21,0.21,0.26,0.2,0.17,0.23
b_1,0.48,0.41,0.51,0.27,0.94,0.55,0.34,0.28,0.25,0.28,0.15,0.22,0.27,0.16,0.17,0.23
a_1,0.53,0.49,0.5,0.54,0.31,0.94,0.38,0.29,0.25,0.37,0.28,0.31,0.32,0.2,0.18,0.25
h_1,0.92,0.63,0.67,0.62,0.49,0.46,0.74,0.39,0.47,0.35,0.38,0.31,0.27,0.35,0.26,0.39
c_0,0.83,0.72,0.64,0.64,0.54,0.49,0.51,0.66,0.48,0.48,0.7,0.42,0.48,0.4,0.3,0.34
g_1,0.6,0.7,1.03,0.65,0.63,0.46,0.41,0.49,0.74,0.35,0.38,0.51,0.37,0.29,0.25,0.21
d_0,0.72,0.7,0.53,1.16,0.58,0.41,0.58,0.38,0.41,0.64,0.43,0.33,0.44,0.33,0.29,0.3
b_0,0.88,0.71,0.73,0.79,0.46,0.39,0.55,0.43,0.45,0.44,0.66,0.41,0.49,0.64,0.34,0.29
f_0,0.64,0.61,0.78,0.8,0.7,0.45,0.59,0.53,0.41,0.5,0.48,0.64,0.52,0.47,0.65,0.34
h_0,1.08,0.77,0.83,0.74,0.63,0.39,0.44,0.47,0.58,0.49,0.39,0.39,0.35,0.31,0.37,0.47
a_0,0.94,0.81,0.82,0.88,0.78,0.28,0.55,0.48,0.55,0.55,0.42,0.45,0.56,0.61,0.39,0.4
e_0,0.88,0.51,0.8,0.93,0.78,0.6,0.63,0.58,0.63,0.53,0.52,0.38,0.51,0.39,0.62,0.49
g_0,0.71,0.79,1.17,0.81,0.65,0.54,0.54,0.52,0.47,0.57,0.57,0.67,0.44,0.36,0.38,0.3
