,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.67,0.51,1.35,0.54,0.51,0.31,0.93,0.85,0.79,0.77,0.99,0.36,0.77,0.74,0.49,0.81
d_1,0.68,18.2,0.47,0.41,0.54,0.58,0.93,0.39,0.98,2.21,0.98,0.97,1.06,1.25,1.13,0.94
e_1,0.58,0.51,15.83,0.74,0.49,0.59,0.85,2.06,0.8,0.83,1.04,1.09,0.96,0.87,0.58,0.89
c_1,0.53,0.56,0.45,18.44,1.19,0.61,0.67,0.9,0.83,0.32,0.74,0.86,0.93,0.92,0.76,0.94
b_1,0.43,0.71,0.5,0.49,20.56,1.35,0.89,0.73,0.76,0.78,0.33,0.87,1.04,0.58,0.85,1.06
a_1,0.67,0.63,0.53,0.5,0.65,27.11,0.85,0.86,0.89,0.9,0.79,0.99,1.01,0.5,1.27,0.82
h_1,1.05,0.69,0.69,0.96,0.55,0.69,5.25,0.95,1.75,1.04,1.28,1.2,0.68,1.03,1.2,1.76
d_0,0.69,0.41,0.55,2.4,0.69,0.66,1.21,2.74,0.94,0.74,1.55,1.42,1.05,1.25,1.29,1.11
g_1,0.66,1.38,0.53,0.83,0.65,0.56,1.19,0.95,6.19,1.1,1.25,2.13,1.26,1.43,1.45,0.89
c_0,0.83,0.65,0.83,0.47,0.47,0.81,1.25,1.34,1.16,3.29,4.18,1.52,1.33,1.3,1.38,1.46
b_0,0.77,0.77,0.7,0.96,0.36,0.6,1.37,1.27,1.34,1.07,3.64,1.27,1.72,3.4,1.76,1.41
f_0,0.47,0.8,0.49,0.89,0.84,0.88,1.12,1.26,1.21,1.49,1.19,3.87,1.17,1.29,3.54,1.3
h_0,1.44,0.73,0.64,0.77,0.59,0.57,0.79,1.17,1.78,0.98,1.02,1.2,0.72,1.15,1.31,1.67
a_0,0.64,0.81,0.66,0.79,0.78,0.42,1.7,1.37,1.02,1.55,1.31,1.72,1.85,4.69,1.39,1.74
e_0,0.98,0.73,0.33,0.96,0.61,0.8,1.5,1.18,1.56,1.38,1.45,1.21,1.8,1.82,5.2,1.17
g_0,0.64,1.26,0.51,0.79,0.67,0.85,0.92,0.99,0.65,1.22,1.28,2.27,0.95,1.36,1.66,0.78
