,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.89,0.4,0.2,0.19,0.15,0.11,0.19,0.16,0.18,0.17,0.07,0.18,0.16,0.13,0.1,0.12
e_1,0.25,0.89,0.2,0.22,0.2,0.1,0.17,0.18,0.37,0.2,0.19,0.17,0.2,0.12,0.07,0.15
d_1,0.26,0.21,0.9,0.17,0.14,0.11,0.19,0.18,0.1,0.37,0.19,0.18,0.21,0.14,0.15,0.15
c_1,0.23,0.22,0.22,0.89,0.31,0.09,0.18,0.16,0.18,0.05,0.18,0.11,0.16,0.11,0.13,0.12
b_1,0.24,0.22,0.22,0.2,0.88,0.25,0.22,0.16,0.23,0.14,0.15,0.07,0.18,0.08,0.12,0.12
a_1,0.27,0.22,0.25,0.17,0.17,0.88,0.22,0.18,0.14,0.19,0.17,0.16,0.21,0.04,0.12,0.14
h_1,0.4,0.23,0.3,0.25,0.19,0.16,0.58,0.26,0.23,0.16,0.17,0.18,0.13,0.14,0.15,0.21
g_1,0.28,0.25,0.4,0.25,0.18,0.14,0.24,0.56,0.2,0.22,0.29,0.18,0.18,0.16,0.15,0.1
d_0,0.27,0.27,0.13,0.49,0.23,0.17,0.23,0.23,0.46,0.14,0.24,0.17,0.2,0.16,0.13,0.16
c_0,0.33,0.29,0.33,0.17,0.16,0.13,0.26,0.21,0.22,0.45,0.2,0.44,0.24,0.2,0.17,0.19
f_0,0.18,0.22,0.34,0.28,0.24,0.16,0.26,0.21,0.24,0.27,0.46,0.17,0.23,0.13,0.33,0.22
b_0,0.33,0.23,0.34,0.29,0.12,0.1,0.24,0.22,0.28,0.23,0.23,0.46,0.27,0.34,0.15,0.2
h_0,0.43,0.28,0.31,0.22,0.16,0.14,0.15,0.3,0.22,0.22,0.19,0.23,0.15,0.16,0.12,0.24
a_0,0.29,0.24,0.39,0.26,0.23,0.07,0.25,0.21,0.21,0.21,0.22,0.19,0.26,0.4,0.17,0.23
e_0,0.33,0.15,0.29,0.26,0.24,0.17,0.31,0.18,0.31,0.23,0.24,0.24,0.29,0.17,0.4,0.15
g_0,0.24,0.24,0.45,0.25,0.21,0.14,0.21,0.16,0.19,0.28,0.35,0.22,0.21,0.17,0.19,0.11
