,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.67,2.33,1.94,1.93,1.82,1.64,0.75,0.88,0.64,0.64,0.79,1.52,0.47,0.54,0.69,0.8
e_1,1.29,0.66,2.32,2.18,2.09,2.43,1.03,1.06,0.75,0.92,0.68,0.86,0.54,1.76,0.84,0.6
d_1,2.23,2.12,0.66,2.24,1.93,1.92,0.9,0.59,0.95,1.37,0.75,0.65,0.55,0.74,0.56,0.43
c_1,2.35,1.95,2.32,0.63,2.82,1.82,0.93,1.09,1.67,0.5,0.8,0.73,0.64,0.88,0.72,0.59
b_1,2.44,2.79,1.96,1.35,0.63,2.68,1.01,1.08,0.82,0.93,1.49,0.87,0.86,0.86,0.74,0.65
a_1,3.11,2.73,2.62,2.74,1.65,0.56,1.24,1.3,1.18,1.09,1.35,1.14,0.94,0.84,,0.75
h_1,2.86,2.45,2.67,2.81,2.69,2.23,0.6,1.28,0.88,0.92,0.78,1.18,1.41,0.69,0.95,0.91
g_1,2.97,2.52,3.37,2.71,2.61,2.79,1.2,0.57,0.94,0.92,0.97,1.15,0.65,1.02,0.99,1.06
c_0,3.43,3.49,1.67,4.84,3.18,2.16,1.61,1.76,0.67,1.32,1.35,1.05,0.96,0.9,0.98,0.85
d_0,3.53,1.77,5.91,3.63,3.0,2.81,1.46,2.07,1.0,0.67,0.89,0.92,0.87,1.29,1.13,1.01
b_0,3.09,2.62,2.93,3.55,4.66,2.67,1.58,1.34,0.68,1.16,0.66,1.0,0.98,1.03,1.08,0.85
f_0,5.59,2.44,3.01,3.11,2.73,2.91,1.14,0.9,1.02,1.24,0.96,0.63,0.99,1.59,1.12,0.59
h_0,3.7,3.37,3.69,3.39,3.07,2.82,2.26,1.78,1.18,1.19,1.04,0.99,1.67,0.91,1.2,0.97
e_0,5.17,4.34,3.13,3.41,3.45,2.45,1.97,1.64,1.23,1.07,1.21,0.66,1.22,0.58,1.02,0.98
a_0,3.48,3.41,3.93,4.03,4.07,,1.34,1.57,1.15,1.25,0.71,1.17,1.05,1.09,0.6,0.92
g_0,3.42,3.69,4.82,3.88,3.99,3.31,1.22,2.42,1.15,1.22,1.48,1.32,0.98,1.25,0.97,1.53
