,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,6.12,1.8,1.33,1.11,1.39,1.62,6.23,3.41,13.06,5.44,8.79,8.26,10.43,8.9,8.53,10.33
f_1,1.32,6.07,2.77,1.54,1.19,1.35,5.74,6.82,7.05,4.85,7.04,3.39,11.05,6.07,4.63,8.67
e_1,1.27,1.65,6.42,1.81,1.54,1.43,4.8,13.46,6.71,5.42,6.5,7.37,11.62,7.65,4.2,11.44
c_1,1.62,1.34,1.36,6.69,2.93,1.06,5.34,6.73,3.1,5.29,5.1,7.19,10.27,7.51,8.02,11.11
b_1,1.53,1.45,1.28,1.64,7.62,2.96,5.64,7.86,5.3,5.46,3.78,7.36,9.34,4.71,8.0,8.76
a_1,1.64,2.0,1.41,1.59,1.05,10.22,5.74,6.37,6.33,5.77,7.05,7.39,12.24,3.93,6.71,11.44
h_1,1.97,2.65,1.8,1.86,1.78,1.83,16.24,7.33,8.35,8.14,7.76,8.95,8.17,8.25,9.8,15.75
d_0,0.83,1.66,1.62,3.46,2.16,2.21,6.79,15.79,6.55,6.56,9.54,8.48,13.68,9.61,8.84,14.59
c_0,2.22,1.98,1.83,1.27,1.49,1.78,8.14,8.75,15.92,7.57,16.52,10.79,13.68,12.36,9.43,14.29
g_1,3.03,1.5,1.38,1.91,2.0,1.59,6.47,6.82,8.25,19.89,8.89,15.35,13.75,6.74,10.4,9.55
b_0,2.13,2.11,1.86,2.04,0.94,1.32,8.01,8.25,10.25,7.43,19.51,10.0,16.95,20.67,11.63,15.21
f_0,2.35,1.09,1.55,1.96,2.22,1.38,6.55,7.2,10.52,8.37,10.0,20.24,14.88,9.52,22.98,12.82
h_0,1.89,2.6,1.63,1.84,1.85,2.02,4.34,7.97,8.8,9.95,10.04,8.85,8.19,10.2,9.9,19.21
a_0,2.22,2.03,1.86,2.16,1.55,0.83,8.18,9.16,9.56,7.38,10.49,8.95,16.27,25.33,11.0,13.51
e_0,2.18,2.07,1.27,1.91,2.27,1.5,6.56,8.47,10.77,7.22,8.45,10.29,17.04,11.0,25.67,18.77
g_0,3.16,1.69,1.24,1.79,1.98,1.86,6.09,6.3,9.02,4.88,8.91,14.71,12.64,9.07,12.12,11.02
