,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.89,0.43,0.21,0.2,0.12,0.11,0.19,0.15,0.18,0.16,0.16,0.06,0.19,0.12,0.14,0.06
e_1,0.26,0.89,0.26,0.18,0.18,0.11,0.19,0.14,0.36,0.19,0.16,0.16,0.22,0.14,0.14,0.07
c_1,0.22,0.21,0.89,0.19,0.35,0.1,0.18,0.15,0.2,0.07,0.1,0.15,0.22,0.1,0.14,0.11
d_1,0.28,0.21,0.17,0.9,0.15,0.12,0.2,0.17,0.09,0.34,0.2,0.2,0.2,0.14,0.2,0.11
b_1,0.25,0.17,0.24,0.2,0.89,0.23,0.19,0.16,0.2,0.16,0.07,0.15,0.23,0.08,0.17,0.09
a_1,0.3,0.22,0.23,0.18,0.18,0.88,0.18,0.16,0.21,0.18,0.14,0.13,0.24,0.05,0.14,0.07
h_1,0.44,0.27,0.22,0.29,0.17,0.14,0.56,0.23,0.21,0.21,0.21,0.14,0.17,0.14,0.25,0.1
g_1,0.26,0.23,0.24,0.43,0.18,0.13,0.21,0.56,0.23,0.22,0.22,0.28,0.27,0.17,0.13,0.16
d_0,0.29,0.24,0.53,0.16,0.22,0.1,0.24,0.2,0.45,0.15,0.2,0.22,0.29,0.18,0.18,0.14
c_0,0.33,0.28,0.19,0.3,0.13,0.16,0.2,0.22,0.29,0.43,0.45,0.21,0.33,0.2,0.24,0.15
b_0,0.32,0.28,0.24,0.33,0.1,0.13,0.23,0.23,0.22,0.23,0.45,0.2,0.29,0.33,0.2,0.15
f_0,0.22,0.21,0.29,0.32,0.2,0.1,0.23,0.23,0.27,0.27,0.25,0.47,0.33,0.19,0.23,0.32
h_0,0.4,0.25,0.28,0.31,0.2,0.12,0.15,0.27,0.22,0.2,0.22,0.16,0.17,0.16,0.24,0.14
a_0,0.31,0.29,0.31,0.3,0.18,0.08,0.24,0.23,0.21,0.17,0.25,0.24,0.25,0.42,0.19,0.16
g_0,0.28,0.24,0.23,0.44,0.17,0.12,0.22,0.16,0.18,0.21,0.25,0.33,0.26,0.16,0.12,0.16
e_0,0.31,0.11,0.3,0.26,0.29,0.15,0.22,0.18,0.26,0.22,0.26,0.24,0.32,0.14,0.21,0.41
