,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,6.14,1.19,1.74,1.97,1.37,1.47,6.0,5.11,6.7,13.9,8.04,7.93,10.32,6.75,3.44,8.93
d_1,1.58,6.24,1.5,1.22,1.39,1.47,5.92,5.5,14.03,2.6,8.66,8.53,10.87,8.49,8.49,11.99
f_1,2.71,1.61,6.28,1.28,1.26,1.14,5.71,5.68,6.4,6.87,2.86,7.04,8.68,8.4,4.65,10.11
c_1,1.17,1.43,1.59,6.91,2.88,1.36,5.28,4.62,3.24,7.04,7.1,4.53,11.53,5.97,7.49,12.73
b_1,1.36,1.33,1.4,1.49,7.2,3.36,5.24,5.21,4.9,6.63,6.89,2.63,12.35,5.66,7.85,10.7
a_1,1.47,1.65,1.59,1.84,1.53,10.01,4.69,6.18,5.8,7.04,6.58,8.84,10.0,3.47,9.62,9.98
h_1,1.55,2.02,2.51,2.0,1.67,1.62,15.34,8.58,8.29,7.65,8.89,9.65,9.76,8.97,9.39,16.82
g_1,1.7,3.11,1.6,1.21,1.62,1.97,7.07,19.26,10.28,6.63,13.44,10.59,11.5,8.5,10.32,8.14
c_0,1.86,2.25,2.16,1.04,1.43,1.73,8.04,7.66,17.2,7.98,9.71,18.48,12.62,11.72,8.5,14.4
d_0,1.77,0.9,1.9,4.04,1.99,1.38,7.22,5.33,5.05,17.48,7.9,8.39,15.01,9.61,8.54,12.11
f_0,1.47,2.08,1.55,1.78,2.04,1.85,7.9,7.93,9.65,8.45,20.07,10.74,15.32,9.59,23.87,14.9
b_0,1.69,2.61,2.23,2.01,0.99,1.1,7.17,7.17,8.88,8.98,9.05,20.29,15.93,22.03,9.95,13.08
h_0,1.48,1.97,2.74,2.26,1.65,1.99,4.01,9.75,7.53,8.67,8.14,9.1,9.66,11.25,9.0,17.56
a_0,1.79,2.19,2.28,2.0,1.72,0.79,8.0,7.28,8.69,7.96,10.48,9.83,16.36,25.15,10.93,16.73
e_0,1.07,2.05,2.26,1.76,1.78,1.95,9.04,7.28,8.98,7.76,8.7,9.71,18.16,9.21,24.99,14.66
g_0,1.41,3.03,1.55,2.36,1.76,1.83,6.22,3.93,8.03,6.86,12.56,10.33,12.1,8.97,10.18,7.24
