,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.8,0.47,0.27,0.43,0.37,0.39,0.72,0.74,1.58,0.63,0.97,0.88,0.97,0.69,0.24,0.88
f_1,0.72,3.97,0.38,0.33,0.37,0.33,0.77,0.67,0.9,0.96,0.83,0.13,0.79,0.91,0.53,0.68
d_1,0.33,0.45,4.15,0.33,0.47,0.4,0.77,0.71,0.15,1.56,0.97,0.78,0.99,0.8,0.94,0.88
c_1,0.33,0.35,0.48,4.2,0.76,0.31,0.84,0.68,0.69,0.11,0.63,0.9,0.77,0.76,0.83,0.9
b_1,0.34,0.36,0.47,0.34,4.78,0.83,0.67,0.9,0.79,0.87,0.1,0.82,0.75,0.61,0.64,0.76
a_1,0.43,0.38,0.39,0.56,0.3,6.88,0.88,0.67,0.86,0.58,0.6,0.88,0.99,0.14,0.65,0.76
h_1,0.69,0.89,0.65,0.68,0.78,0.45,5.65,1.51,1.1,1.27,1.45,0.99,0.49,1.49,1.54,1.65
g_1,0.52,0.62,1.13,0.76,0.6,0.53,0.87,6.18,1.06,1.47,1.12,2.59,1.35,1.33,1.75,0.74
d_0,0.8,0.7,0.2,1.5,0.4,0.65,1.53,1.16,3.52,1.29,1.64,1.56,1.61,1.53,1.81,1.69
c_0,0.76,0.78,0.86,0.29,0.53,0.62,1.46,1.21,1.46,4.14,2.52,1.82,1.85,1.8,2.06,2.24
b_0,0.8,0.77,0.88,0.76,0.11,0.43,1.33,1.42,1.58,1.37,4.6,1.59,1.69,3.11,1.65,1.94
f_0,0.75,0.28,0.88,0.76,0.68,0.66,0.99,1.5,1.18,1.39,1.65,4.45,1.94,1.46,4.17,1.78
h_0,0.57,1.23,0.53,0.72,0.56,0.8,0.4,1.64,1.08,1.19,1.52,1.69,0.79,1.72,1.49,1.91
a_0,0.76,0.73,0.78,0.85,0.61,0.22,1.26,1.35,1.44,1.59,1.62,1.63,1.84,5.99,1.55,1.96
e_0,0.3,0.78,0.78,0.82,0.66,0.71,1.71,1.04,1.68,1.86,2.47,1.24,1.6,1.78,6.88,1.88
g_0,0.58,0.62,1.12,0.65,0.6,0.77,1.23,0.66,1.08,1.36,1.72,2.29,1.69,1.79,1.58,0.57
