,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,1.29,1.09,1.27,1.41,1.07,0.44,0.44,0.6,0.41,0.47,0.55,0.29,0.37,0.38,0.42
e_1,0.94,0.66,1.24,1.43,1.16,1.25,0.7,0.59,0.64,0.56,0.42,0.54,0.42,0.48,0.82,0.45
d_1,1.51,1.46,0.65,1.28,1.15,1.12,0.55,0.79,0.41,0.55,0.44,0.38,0.42,0.41,0.43,0.26
c_1,1.27,1.17,1.86,0.64,1.49,1.16,0.63,0.31,0.59,0.61,0.46,0.48,0.41,0.44,0.46,0.39
b_1,1.42,1.71,1.56,0.9,0.62,1.71,0.75,0.57,0.62,0.58,0.85,0.42,0.42,0.44,0.39,0.38
a_1,1.96,1.59,1.64,1.94,0.86,0.57,0.84,0.67,0.75,0.64,0.77,0.65,0.46,1.05,0.68,0.54
h_1,2.12,1.88,1.93,1.91,1.84,1.7,0.57,0.75,1.07,0.68,0.66,0.69,0.74,0.6,0.65,0.55
d_0,2.16,1.33,2.9,2.42,2.31,1.99,1.01,0.62,0.97,0.85,0.69,0.83,0.63,0.78,0.7,0.73
g_1,2.19,2.19,2.42,2.35,2.23,1.76,0.7,0.92,0.55,0.63,0.72,0.77,0.53,0.81,0.64,0.62
c_0,2.57,2.22,1.33,3.38,2.36,1.94,1.07,1.06,1.12,0.59,0.91,0.81,0.67,0.74,0.71,0.65
b_0,2.4,2.53,2.15,2.77,3.54,1.85,1.12,1.0,0.91,0.54,0.6,0.85,0.64,0.95,0.79,0.6
f_0,3.55,2.44,2.55,2.61,2.86,1.87,1.24,0.89,0.72,0.88,0.85,0.58,0.71,0.79,0.91,0.47
h_0,3.11,2.61,2.23,2.57,2.96,2.1,1.39,1.0,1.29,0.91,0.92,0.77,0.9,0.89,0.82,0.83
a_0,3.44,2.63,2.24,2.66,3.35,2.38,1.33,1.16,1.13,0.85,0.56,0.84,0.76,0.57,1.11,0.69
e_0,3.68,2.92,2.45,2.81,3.44,2.15,1.14,0.95,1.13,0.87,0.82,0.53,0.7,0.9,0.55,0.8
g_0,3.04,2.75,3.21,3.4,2.63,2.19,1.06,0.98,1.48,0.97,0.98,1.03,0.71,1.01,0.78,0.9
