,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.52,1.48,0.98,1.01,0.86,0.73,1.01,1.07,1.14,1.0,1.04,0.9,1.14,0.92,1.03,0.65
e_1,0.94,1.53,0.92,1.21,1.01,0.9,1.2,1.08,1.81,1.13,1.22,1.21,1.26,0.95,1.23,0.91
d_1,1.11,0.98,1.58,0.95,0.92,0.8,1.24,1.07,1.05,1.67,1.34,1.09,1.31,1.19,1.09,1.03
c_1,1.12,0.98,0.95,1.59,1.46,0.97,1.14,1.09,0.99,0.97,0.89,1.1,1.29,1.08,1.1,1.03
b_1,1.19,1.03,1.02,0.9,1.64,1.44,1.22,1.08,1.24,1.15,0.96,1.13,1.44,0.83,1.35,0.98
a_1,1.3,1.09,1.22,0.99,0.93,1.76,1.42,1.22,1.25,1.45,1.42,1.3,1.54,0.94,1.25,1.09
h_1,1.65,1.28,1.34,1.25,1.05,0.87,1.87,1.6,1.48,1.34,1.41,1.22,1.33,1.26,1.73,1.28
g_1,1.3,1.19,1.63,1.25,1.19,1.03,1.42,1.93,1.37,1.45,1.48,1.67,1.46,1.34,1.36,1.29
d_0,1.35,1.15,1.11,1.99,1.21,1.07,1.46,1.27,1.81,1.14,1.59,1.35,1.63,1.39,1.42,1.35
c_0,1.57,1.27,1.31,1.26,0.95,0.98,1.68,1.54,1.57,1.88,2.35,1.4,1.87,1.62,1.62,1.52
b_0,1.54,1.26,1.38,1.54,1.0,0.89,1.65,1.53,1.48,1.4,1.9,1.4,1.75,2.22,1.47,1.46
f_0,1.35,1.17,1.46,1.37,1.36,1.1,1.74,1.38,1.57,1.63,1.69,1.93,1.79,1.58,1.56,2.36
h_0,1.69,1.38,1.45,1.31,1.24,1.01,1.49,1.73,1.42,1.46,1.53,1.38,1.51,1.43,1.84,1.16
a_0,1.79,1.38,1.4,1.4,1.29,0.91,1.82,1.49,1.55,1.47,1.38,1.51,1.83,1.94,1.73,1.54
g_0,1.4,1.26,1.83,1.38,1.25,1.11,1.37,1.39,1.64,1.67,1.73,2.13,1.83,1.51,1.59,1.63
e_0,1.94,1.42,1.4,1.46,1.33,0.98,1.64,1.57,1.61,1.62,1.6,1.21,1.98,1.72,1.67,1.98
