,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.06,2.37,1.72,2.16,1.98,1.53,0.64,0.63,0.69,0.94,0.68,0.79,0.5,0.39,0.46,0.49
e_1,1.32,1.06,2.26,2.32,2.15,2.35,0.8,0.67,0.79,0.93,0.66,0.75,0.58,0.48,0.93,0.49
d_1,2.75,2.5,1.06,2.22,2.04,1.77,0.89,0.69,0.97,0.55,0.65,0.68,0.58,0.51,0.65,0.36
c_1,2.52,2.0,2.74,1.06,2.65,1.82,0.83,0.86,0.41,0.75,0.62,0.65,0.62,0.49,0.58,0.42
b_1,2.5,2.54,2.49,1.43,1.06,2.86,1.06,0.91,0.75,1.0,1.19,0.62,0.63,0.66,0.57,0.66
a_1,3.78,2.95,3.38,3.62,1.7,1.06,1.38,0.97,1.06,1.18,0.95,0.86,1.08,0.67,0.92,0.67
h_1,5.8,5.22,4.96,5.59,5.79,4.17,1.32,1.66,1.81,1.89,1.57,1.42,1.36,1.7,1.27,1.24
c_0,6.1,6.56,3.92,8.42,6.22,5.52,2.45,1.46,2.43,2.37,2.35,1.86,1.87,1.39,1.54,1.29
d_0,6.41,3.82,9.74,7.75,6.68,5.63,2.25,2.03,1.49,2.46,1.95,1.95,1.67,1.4,1.69,1.57
g_1,6.07,5.74,7.4,6.8,6.0,5.05,2.18,1.77,2.07,1.32,1.82,2.05,1.75,1.2,1.59,1.78
b_0,6.33,6.29,5.72,9.05,8.38,5.65,2.3,1.34,2.4,2.44,1.47,2.12,2.16,1.43,1.61,1.42
f_0,11.19,6.57,6.76,6.65,8.17,6.57,2.9,2.38,2.3,1.79,2.02,1.46,2.41,1.65,2.33,1.14
a_0,10.08,9.17,7.73,9.31,11.03,12.3,3.35,2.23,3.27,2.94,1.68,2.64,1.6,2.21,2.53,2.13
h_0,11.34,8.69,8.86,10.87,7.99,7.89,3.98,2.76,3.14,3.38,2.95,2.51,2.24,2.63,2.18,2.23
e_0,14.62,12.39,8.25,9.58,8.78,7.72,3.9,2.98,3.28,3.33,3.3,1.55,2.81,2.03,1.55,1.89
g_0,12.56,10.29,10.54,14.11,8.57,8.64,3.4,3.05,3.41,4.08,3.01,3.02,2.82,1.94,2.51,2.79
