,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.67,6.72,6.22,5.85,5.29,5.1,2.48,,2.38,1.56,2.44,2.04,1.75,1.86,2.15,0.99
f_1,4.9,0.67,5.59,7.31,6.47,4.13,1.93,2.31,2.45,2.42,2.33,,1.56,1.84,1.63,1.69
e_1,5.59,4.1,0.66,5.76,5.45,5.44,2.83,2.47,1.84,3.62,2.66,2.12,1.71,2.02,,1.88
c_1,6.52,5.7,6.47,0.65,6.44,,2.41,1.5,,2.54,1.75,2.0,1.95,2.44,2.25,2.08
b_1,8.02,5.78,6.16,4.04,0.63,8.74,2.98,2.48,2.15,2.64,,2.19,1.99,2.38,1.98,1.57
a_1,7.57,7.26,9.24,,4.4,0.58,2.35,1.91,2.56,2.95,3.08,,1.98,,,1.79
h_1,4.42,4.53,5.13,4.85,3.91,6.86,0.61,2.06,1.71,2.4,1.61,2.0,,1.5,2.23,1.68
d_0,,4.67,3.08,5.06,4.04,5.11,1.86,0.71,1.78,2.1,2.05,1.66,1.38,1.95,1.36,1.56
c_0,3.44,4.47,5.51,,5.95,4.47,2.19,1.91,0.7,2.1,1.82,1.56,1.36,1.5,1.16,1.62
g_1,8.5,6.87,5.18,5.0,5.38,5.19,2.13,2.44,2.2,0.58,1.91,2.29,1.04,,1.86,
b_0,4.13,5.93,5.8,6.67,,4.55,2.8,1.48,1.18,2.22,0.68,1.82,1.51,1.72,,1.51
f_0,4.64,,6.26,5.04,4.79,,2.61,2.02,1.99,1.7,1.76,0.68,1.83,2.42,1.75,0.99
h_0,4.94,4.11,4.23,4.22,4.63,4.49,,1.59,1.9,1.94,1.46,1.36,,1.55,1.41,1.59
a_0,6.09,9.16,6.55,4.93,6.82,,2.76,2.09,2.05,,1.7,1.7,1.58,0.61,,1.66
e_0,5.7,8.87,,5.61,5.73,,2.56,2.78,2.77,2.67,,1.3,1.88,,0.62,1.29
g_0,6.35,4.94,5.23,4.05,7.38,5.04,2.21,1.71,2.0,,1.76,2.16,1.04,1.52,1.96,
