,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,9920.22,5578.78,9671.34,7688.51,11701.28,88220.62,6004534.34,13933669.87,29384509.06,44568703.79,64769383.12,62028767.83,144841826.49,292868239.96,238527313.67,746594391.7
f_1,7264.77,12043.91,8078.06,8283.36,10579.84,74371.11,5512161.01,13755613.32,19092744.58,45483613.02,46114323.94,55776994.29,143987844.76,293965015.18,211971398.07,665614456.39
c_1,4482.87,5369.7,18709.48,8668.91,17997.37,94456.39,5531245.58,12796859.75,17200505.55,37239318.11,59328086.0,49490600.25,134592510.39,268952142.46,323214777.71,630814523.24
d_1,4680.63,6067.3,6299.9,23287.62,9873.27,83913.89,5958806.33,15320890.55,12308980.48,96915005.8,64854102.56,79925160.24,192627490.06,310447636.83,390673173.99,710144419.55
b_1,4275.32,5364.62,8764.41,9340.51,27838.95,177279.92,5365360.6,11465028.43,18804286.46,51380198.8,60639125.97,46586954.1,119120726.06,276510884.31,326341485.01,722144572.91
a_1,4294.42,5858.06,8838.22,9455.76,11540.56,353396.5,7129001.09,12997441.36,16113328.81,47832131.97,63596088.2,69882966.33,129018195.1,280943222.73,372003854.87,676204985.97
h_1,5020.2,7667.33,8629.32,10842.78,10614.64,89878.14,10307739.3,17824926.09,17400415.08,48810255.83,61468968.24,66546940.63,145064238.89,235178377.6,318069581.76,884770816.49
g_1,4782.89,5522.65,7974.12,15482.88,9961.57,94913.42,5607649.71,28096003.68,14346505.19,61305971.96,94073026.23,79049610.76,177660953.1,313426995.29,372593731.33,654907961.08
d_0,4527.8,6144.84,14891.33,7220.26,11940.95,91142.56,6022333.05,13618214.68,26192619.47,42115144.08,62821082.11,58194356.31,170957994.06,282716618.49,326673583.81,696754952.69
c_0,5030.89,6799.85,6699.48,11699.49,9355.44,81226.58,7054969.03,17162873.44,16757360.62,94093856.77,67606195.98,134948641.06,229997541.56,313006079.76,351504255.64,828324108.99
f_0,4345.3,5789.29,8905.32,10428.49,11812.24,100261.19,6593014.08,14739270.52,20914915.83,57916050.01,111079539.86,79491331.23,211070200.69,316269610.2,702827890.35,727569242.42
b_0,5369.18,6659.45,8303.38,11993.81,8790.66,69313.74,7013857.21,18273863.01,16933515.8,69095158.26,69277744.77,128626197.69,346175498.96,303580998.76,315264028.49,844008741.88
a_0,4987.59,6730.8,8618.89,9803.89,11140.46,73023.86,6922592.57,15951724.02,17580799.97,63933833.18,76973319.52,75255352.33,328889556.8,321325367.1,471784670.22,694188716.21
h_0,4882.76,7541.38,9153.38,10481.32,10829.2,77111.71,5045569.77,18416867.46,18926622.09,60011401.24,55419721.72,67375145.34,187641124.08,246380174.03,327059318.22,932387080.89
e_0,3409.21,6874.57,8909.35,11015.52,11950.54,96563.07,7428624.39,15213975.72,16197207.21,66698191.98,65596920.93,75437128.54,184292901.89,346036872.1,664260010.66,784765996.34
g_0,4366.77,5976.0,9184.65,14554.76,11820.8,90854.13,6275028.23,12988539.84,17391494.95,55427041.82,95180616.11,65888124.93,161717021.41,295664416.03,402024452.65,607781259.97
