,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.09,1.02,0.89,0.93,0.81,0.7,0.63,0.55,0.83,0.67,0.65,0.58,0.58,0.56,0.49
e_1,0.92,1.0,0.81,1.14,0.97,0.93,0.75,0.9,0.74,0.63,0.68,0.65,0.67,0.57,0.64,0.61
f_1,0.98,1.22,1.0,1.0,0.87,0.86,0.57,0.67,0.7,0.58,0.58,0.56,0.49,0.56,0.42,0.54
c_1,1.11,0.89,1.01,1.0,1.23,0.83,0.7,0.51,0.64,0.58,0.59,0.52,0.63,0.56,0.57,0.67
b_1,1.1,1.05,1.15,0.82,1.0,1.24,0.8,0.6,0.69,0.8,0.65,0.87,0.62,0.56,0.63,0.7
a_1,1.19,1.06,1.16,1.21,0.8,1.0,0.94,0.8,0.93,0.83,0.83,0.91,0.78,0.71,0.78,0.66
h_1,1.43,1.38,1.81,1.42,1.2,1.02,1.0,0.94,1.24,0.87,0.87,0.9,0.9,0.87,0.77,0.92
d_0,1.52,1.13,1.44,1.97,1.66,1.28,1.09,1.0,0.95,0.77,0.89,0.87,0.91,0.77,0.88,0.92
g_1,1.83,1.36,1.42,1.53,1.48,1.02,0.85,1.07,1.0,0.95,1.09,0.97,0.87,1.01,1.01,0.84
c_0,1.23,1.66,1.69,1.76,1.21,1.15,1.19,1.31,1.05,1.0,0.98,1.47,1.03,1.01,0.98,1.0
f_0,1.59,1.43,1.7,1.61,1.57,1.31,1.09,1.08,0.9,1.0,1.0,0.95,0.98,0.89,1.27,0.71
b_0,1.5,1.52,1.72,1.95,1.2,1.1,1.1,1.21,0.98,0.72,1.02,1.0,1.0,1.45,0.99,0.89
h_0,1.75,1.57,2.01,1.58,1.57,1.31,1.14,1.12,1.16,0.99,1.0,0.96,1.0,0.93,0.88,1.05
a_0,1.68,1.77,1.91,1.73,1.63,1.33,1.21,1.31,0.98,1.07,1.08,0.72,1.08,1.0,1.05,0.96
e_0,1.76,1.53,2.41,1.79,1.58,1.31,1.29,1.13,0.98,1.05,0.78,1.08,1.1,0.97,1.0,0.98
g_0,2.11,1.65,1.78,1.54,1.45,1.51,1.06,1.09,1.15,1.05,1.41,1.18,0.94,1.02,1.0,1.0
