,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,15.18,0.58,1.03,0.43,0.57,0.53,0.81,0.77,0.92,0.91,1.15,0.38,0.92,1.01,0.79,0.88
c_1,0.51,17.32,0.49,1.38,0.54,0.49,0.72,0.97,0.27,0.86,0.44,0.76,0.67,0.93,0.8,0.93
e_1,0.64,0.8,16.77,0.55,0.39,0.46,1.14,2.09,0.88,0.75,0.99,0.9,0.92,0.96,0.31,0.99
b_1,0.55,0.57,0.52,17.38,0.59,1.21,0.9,0.7,0.8,0.91,0.46,0.93,0.68,0.79,1.19,0.82
d_1,0.55,0.31,0.58,0.5,20.65,0.67,0.82,0.45,2.28,0.93,1.26,1.38,1.16,1.06,1.09,1.04
a_1,0.62,0.55,0.53,0.52,0.77,28.46,0.97,0.7,0.8,0.81,1.05,1.08,0.48,0.81,1.03,0.95
h_1,1.02,0.95,0.61,0.63,0.76,0.63,5.49,1.11,0.99,1.64,1.2,1.07,1.16,0.77,1.02,1.6
d_0,0.77,1.99,0.64,0.8,0.39,0.52,1.09,2.76,0.73,0.88,0.74,1.25,1.11,1.36,1.47,1.24
c_0,0.76,0.46,0.75,0.49,0.9,0.69,1.21,1.15,3.63,1.15,3.37,1.5,1.9,1.58,1.4,1.28
g_1,0.61,0.72,0.68,0.52,1.84,0.56,0.85,0.88,1.25,6.87,1.11,1.88,1.28,1.3,1.24,0.72
b_0,0.86,0.77,0.72,0.33,0.88,0.53,1.06,1.43,1.46,1.09,3.62,1.21,3.66,1.46,1.25,1.53
f_0,0.59,0.92,0.53,0.68,0.76,0.87,1.3,1.54,1.4,1.01,1.43,4.01,1.39,1.35,3.06,1.26
a_0,1.05,0.84,0.86,0.6,0.62,0.42,1.36,1.38,1.07,1.09,1.27,1.31,4.92,1.66,1.5,1.13
h_0,1.35,0.82,0.57,0.72,0.7,0.7,0.56,1.36,1.08,1.61,1.33,1.1,1.35,0.69,1.41,1.48
e_0,1.03,0.66,0.4,0.84,0.96,0.71,1.38,0.99,1.24,1.25,1.17,1.36,1.45,1.27,4.52,1.73
g_0,0.57,0.7,0.52,0.7,1.49,0.74,1.3,1.09,1.12,0.69,1.23,2.26,1.24,1.38,1.83,0.74
