,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.66,1.06,0.72,0.83,0.58,0.53,0.58,0.57,0.51,0.38,0.36,0.28,0.36,,0.31
f_1,1.52,1.0,0.97,1.13,0.81,0.77,0.48,0.39,0.43,0.42,,0.36,0.33,0.25,0.24,0.35
d_1,0.95,1.04,1.0,0.87,0.93,0.96,0.61,0.45,0.52,,0.34,0.35,0.31,0.31,0.44,0.24
c_1,1.38,0.88,1.15,1.0,1.42,0.86,0.63,0.4,,0.32,0.45,0.42,0.38,0.38,0.35,0.31
b_1,1.21,1.23,1.07,0.71,1.0,1.04,0.67,0.46,0.53,0.47,0.55,,0.39,0.42,0.27,0.36
a_1,1.71,1.3,1.04,1.17,0.96,1.0,0.68,0.58,0.57,,0.51,0.45,,0.5,,0.37
h_1,1.88,2.08,1.63,1.59,1.5,1.47,1.0,1.25,0.81,0.91,0.81,0.81,0.71,,0.65,0.92
g_1,1.74,2.58,2.21,2.51,2.17,1.72,0.8,1.0,0.85,0.73,1.05,0.9,0.84,0.63,,
c_0,1.75,2.33,1.91,,1.9,1.74,1.23,1.17,1.0,0.96,0.81,1.42,0.93,0.76,0.86,0.78
d_0,1.95,2.35,,3.17,2.15,,1.1,1.38,1.04,1.0,0.76,0.86,0.87,0.97,0.69,0.77
f_0,2.64,,2.95,2.21,1.81,1.96,1.24,0.95,1.23,1.32,1.0,0.8,0.7,0.87,1.23,0.73
b_0,2.8,2.79,2.88,2.4,,2.2,1.23,1.12,0.7,1.17,1.25,1.0,1.27,0.8,0.6,0.83
a_0,3.58,3.07,3.2,2.66,2.55,,1.41,1.19,1.08,1.15,1.42,0.79,1.0,1.18,,0.78
h_0,2.75,4.08,3.24,2.66,2.41,2.01,,1.59,1.32,1.03,1.15,1.26,0.85,,0.72,0.84
e_0,,4.14,2.28,2.89,3.65,,1.55,,1.17,1.45,0.81,1.66,,1.39,1.0,0.94
g_0,3.25,2.85,4.18,3.26,2.78,2.68,1.09,,1.27,1.29,1.37,1.21,1.28,1.19,1.06,
