,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.71,0.6,0.72,0.62,0.72,0.28,0.26,0.37,0.31,0.28,0.32,0.2,0.29,0.27,0.26
e_1,0.47,0.4,0.69,0.82,0.7,0.67,0.4,0.33,0.41,0.39,0.31,0.43,0.27,0.3,0.27,0.36
d_1,0.76,0.76,0.4,0.62,0.65,0.55,0.33,0.35,0.26,0.38,0.31,0.28,0.26,0.26,0.19,0.29
c_1,0.71,0.54,0.79,0.39,0.77,0.64,0.39,0.34,0.35,0.2,0.29,0.28,0.24,0.28,0.24,0.27
b_1,0.84,0.7,0.63,0.42,0.36,0.78,0.4,0.41,0.36,0.31,0.45,0.32,0.28,0.28,0.27,0.28
a_1,0.66,0.7,0.81,0.7,0.4,0.29,0.37,0.32,0.42,0.34,0.37,0.32,0.3,0.48,0.32,0.35
h_1,0.72,0.6,0.64,0.62,0.58,0.58,0.24,0.26,0.35,0.29,0.31,0.24,0.29,0.27,0.27,0.31
c_0,0.72,0.66,0.43,0.82,0.6,0.6,0.36,0.24,0.34,0.4,0.37,0.29,0.26,0.33,0.24,0.27
g_1,0.64,0.6,0.69,0.79,0.58,0.51,0.28,0.25,0.21,0.27,0.28,0.29,0.18,0.3,0.24,0.3
d_0,0.61,0.41,0.85,0.76,0.69,0.62,0.35,0.24,0.39,0.23,0.29,0.3,0.26,0.29,0.25,0.29
b_0,0.63,0.62,0.58,0.8,0.71,0.55,0.34,0.18,0.34,0.28,0.21,0.28,0.24,0.38,0.24,0.27
f_0,0.91,0.56,0.64,0.64,0.57,0.54,0.39,0.26,0.25,0.27,0.27,0.21,0.23,0.31,0.16,0.34
h_0,0.67,0.61,0.63,0.62,0.57,0.53,0.4,0.26,0.42,0.29,0.27,0.3,0.28,0.28,0.26,0.24
a_0,0.69,0.59,0.61,0.75,0.68,0.58,0.42,0.24,0.29,0.27,0.17,0.26,0.25,0.19,0.23,0.31
g_0,0.6,0.61,0.69,0.62,0.63,0.5,0.26,0.29,0.45,0.28,0.27,0.36,0.21,0.3,0.27,0.3
e_0,0.81,0.77,0.56,0.68,0.68,0.56,0.33,0.26,0.29,0.25,0.29,0.16,0.27,0.3,0.2,0.18
