,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.76,0.84,0.66,0.99,0.83,0.64,1.02,1.47,0.93,0.91,0.99,1.0,1.08,1.2,0.78,0.9
f_1,1.3,1.76,0.77,0.73,0.69,0.68,0.87,0.94,0.88,0.99,1.0,0.71,0.87,0.92,0.79,0.86
d_1,0.76,0.98,2.02,0.67,0.67,0.75,1.01,0.73,0.94,1.69,1.25,0.96,1.03,1.03,1.02,0.98
c_1,0.69,0.74,0.8,2.04,1.38,0.87,0.87,0.89,0.88,0.53,0.72,0.93,0.97,0.86,0.9,0.92
b_1,0.66,0.76,0.84,0.88,2.08,1.5,0.96,0.84,0.93,0.87,0.66,1.07,0.95,0.76,0.91,1.06
a_1,0.86,0.85,0.9,0.85,0.73,2.74,1.05,0.96,1.11,0.88,0.97,1.1,1.09,0.73,1.2,1.13
h_1,0.83,1.15,0.99,0.79,0.84,0.76,1.71,0.92,1.36,0.97,0.98,1.03,0.76,0.95,0.99,1.23
d_0,0.77,0.84,0.74,1.45,1.02,0.72,0.98,1.4,0.89,0.65,0.98,1.0,1.08,1.03,1.07,1.08
g_1,0.78,0.84,1.33,0.71,0.73,0.74,1.06,0.85,2.19,1.15,1.02,1.47,1.06,1.07,1.4,0.88
c_0,0.87,1.0,1.04,0.77,0.66,0.74,1.17,1.13,0.98,1.55,1.87,1.11,1.02,1.35,1.29,1.26
b_0,0.91,0.94,1.0,0.9,0.65,0.71,1.1,1.04,1.25,1.12,1.74,1.0,1.13,1.98,1.2,1.23
f_0,0.81,0.74,0.89,0.87,0.98,0.94,1.2,1.1,1.2,0.99,1.12,1.85,1.15,0.99,2.26,1.16
h_0,0.93,1.06,0.97,0.87,0.87,0.84,0.75,0.94,1.23,0.92,0.98,0.88,0.72,0.84,1.01,1.27
a_0,0.95,0.94,0.93,0.89,0.82,0.56,1.09,1.07,1.01,0.96,1.2,1.08,1.26,1.93,1.15,1.0
e_0,0.8,1.05,0.97,0.83,0.93,0.73,0.98,0.98,1.01,1.06,1.03,1.04,1.14,0.93,1.94,1.3
g_0,0.82,0.86,1.36,0.85,0.81,0.85,0.96,0.89,0.7,1.05,1.17,1.44,1.0,1.2,1.11,0.89
