,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.43,0.63,1.26,1.4,1.32,1.18,0.36,0.29,0.4,0.24,0.33,0.26,0.19,0.34,0.21,0.23
f_1,1.16,0.42,1.08,1.3,1.29,0.94,0.24,0.3,0.36,0.24,0.37,0.22,0.13,0.23,0.24,0.19
d_1,1.36,1.41,0.4,1.32,1.15,1.1,0.3,0.39,0.22,0.24,0.24,0.27,0.17,0.24,0.21,0.1
c_1,0.94,1.42,1.72,0.41,1.18,1.07,0.35,0.15,0.36,0.37,0.23,0.23,0.18,0.22,0.23,0.2
b_1,1.32,1.74,1.34,0.69,0.39,1.48,0.41,0.27,0.4,0.43,0.28,0.47,0.23,0.31,0.27,0.19
a_1,1.76,1.93,1.69,1.66,0.73,0.33,0.54,0.39,0.44,0.37,0.29,0.55,0.21,0.39,0.55,0.25
h_1,2.12,2.18,2.08,2.03,2.03,2.24,0.31,0.45,0.7,0.44,0.42,0.41,0.37,0.37,0.32,0.31
d_0,1.42,2.22,3.45,2.48,2.48,2.07,0.8,0.33,0.85,0.48,0.53,0.48,0.33,0.52,0.48,0.43
g_1,2.61,2.53,2.47,2.71,2.17,2.28,0.45,0.49,0.28,0.51,0.47,0.42,0.26,0.36,0.36,0.34
c_0,2.57,2.26,1.25,4.92,2.59,2.97,0.76,0.77,0.74,0.32,0.52,0.53,0.36,0.49,0.41,0.34
f_0,2.26,3.55,2.69,2.55,2.75,2.17,0.78,0.5,0.48,0.52,0.31,0.51,0.36,0.57,0.53,0.24
b_0,2.33,2.54,2.11,3.9,3.84,2.67,0.75,0.52,0.79,0.3,0.5,0.3,0.41,0.51,0.44,0.43
h_0,2.91,2.81,2.89,3.02,2.72,2.39,1.13,0.62,0.96,0.61,0.68,0.65,0.56,0.5,0.61,0.46
e_0,3.93,4.81,2.88,3.47,2.74,2.76,0.86,0.71,0.88,0.74,0.34,0.58,0.45,0.28,0.66,0.4
a_0,3.21,2.88,2.95,4.2,3.94,4.11,0.87,0.57,0.96,0.5,0.59,0.3,0.56,0.46,0.3,0.39
g_0,3.44,3.59,2.91,3.3,2.94,3.13,0.67,0.73,1.22,0.63,0.66,0.65,0.38,0.55,0.66,0.54
