,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.17,0.6,0.64,0.67,0.57,0.55,0.14,0.22,0.13,0.13,0.14,0.28,0.07,0.11,0.13,0.14
e_1,0.35,0.17,0.77,0.73,0.78,0.87,0.21,0.22,0.14,0.14,0.12,0.19,0.09,0.31,0.17,0.11
d_1,0.73,0.73,0.16,0.69,0.57,0.6,0.19,0.12,0.13,0.25,0.14,0.12,0.09,0.12,0.11,0.06
c_1,0.63,0.52,0.82,0.14,0.78,0.6,0.17,0.2,0.26,0.07,0.13,0.12,0.08,0.15,0.13,0.09
b_1,0.78,0.81,0.56,0.35,0.14,0.66,0.19,0.2,0.17,0.16,0.23,0.13,0.14,0.14,0.14,0.11
a_1,0.77,0.69,0.65,0.66,0.37,0.08,0.19,0.22,0.15,0.17,0.18,0.16,0.12,0.13,0.31,0.1
h_1,0.54,0.51,0.56,0.53,0.54,0.42,0.06,0.15,0.11,0.11,0.1,0.12,0.12,0.1,0.1,0.09
g_1,0.53,0.51,0.49,0.51,0.6,0.59,0.13,0.05,0.1,0.11,0.1,0.11,0.06,0.11,0.1,0.09
c_0,0.6,0.64,0.27,1.11,0.53,0.45,0.18,0.18,0.06,0.2,0.13,0.1,0.08,0.11,0.09,0.07
d_0,0.52,0.29,0.93,0.55,0.59,0.58,0.18,0.18,0.11,0.06,0.11,0.1,0.07,0.14,0.14,0.08
b_0,0.52,0.43,0.47,0.74,0.9,0.5,0.17,0.14,0.06,0.12,0.06,0.1,0.08,0.1,0.1,0.07
f_0,0.98,0.43,0.48,0.61,0.46,0.57,0.14,0.09,0.1,0.12,0.1,0.05,0.07,0.15,0.1,0.04
h_0,0.5,0.49,0.5,0.55,0.48,0.56,0.24,0.16,0.09,0.1,0.09,0.09,0.12,0.09,0.09,0.06
e_0,0.86,0.7,0.42,0.65,0.55,0.35,0.18,0.16,0.09,0.1,0.1,0.05,0.09,0.04,0.09,0.06
a_0,0.57,0.49,0.51,0.68,0.64,0.71,0.13,0.14,0.08,0.12,0.05,0.08,0.07,0.09,0.04,0.06
g_0,0.61,0.5,0.51,0.53,0.57,0.54,0.1,0.2,0.1,0.1,0.1,0.1,0.06,0.09,0.07,0.12
