,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,5.69,0.07,0.09,0.06,0.07,0.07,0.18,0.73,0.33,0.37,0.4,0.3,0.55,0.33,0.69,
f_1,0.14,5.98,0.08,0.07,0.07,0.1,0.33,0.36,0.23,0.46,,0.31,0.52,0.26,0.49,0.36
c_1,0.09,0.07,6.44,0.07,0.14,0.06,0.28,0.38,0.25,,0.48,0.34,0.7,0.24,0.72,0.29
d_1,0.07,0.09,0.07,6.53,0.08,0.07,0.32,,0.31,0.67,0.32,0.31,0.65,0.3,0.77,0.39
b_1,0.08,0.06,0.07,0.08,7.27,0.16,0.28,0.25,0.36,0.3,0.43,,0.89,0.27,0.53,0.33
a_1,0.08,0.06,0.08,0.09,0.08,9.94,0.28,0.33,0.31,0.45,0.43,0.39,0.54,,0.49,0.42
h_1,0.23,0.36,0.32,0.34,0.26,0.28,13.79,1.66,1.44,1.38,1.47,1.5,,0.95,2.51,1.6
d_0,0.38,0.36,0.69,,0.37,0.39,1.73,11.48,1.22,1.48,2.16,1.78,2.31,2.35,2.43,2.1
g_1,0.31,0.22,0.3,0.44,0.29,0.44,1.07,1.22,17.86,0.95,1.91,1.34,1.84,1.9,,
c_0,0.36,0.35,,0.4,0.39,0.23,1.55,1.69,1.11,12.97,2.07,4.15,3.43,1.59,2.88,1.48
f_0,0.33,,0.46,0.35,0.24,0.39,1.96,2.1,1.72,1.67,13.6,2.01,3.61,2.16,2.07,4.43
b_0,0.36,0.39,0.32,0.38,,,1.92,1.85,1.14,1.69,1.77,15.77,3.39,3.72,2.7,1.79
h_0,0.49,1.0,0.49,0.65,0.63,0.43,,2.69,3.02,3.43,1.6,3.07,,3.0,4.98,2.23
a_0,0.35,0.48,0.28,0.38,,,1.69,2.44,,1.69,2.39,1.68,3.45,22.24,2.55,
g_0,0.52,0.55,0.42,0.94,0.79,0.43,1.96,2.15,,2.99,4.38,2.44,2.89,2.91,,4.17
e_0,,0.5,0.38,0.37,0.41,,1.34,2.29,1.41,2.73,2.08,,2.74,2.13,2.91,23.8
