,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.41,4.11,3.18,4.03,3.0,3.33,1.33,2.15,1.91,1.73,1.43,,1.69,1.08,,1.49
e_1,2.47,0.41,3.28,3.58,4.2,3.68,2.0,2.07,1.61,1.76,1.28,1.57,2.02,1.41,,1.24
d_1,3.99,4.86,0.4,3.49,3.48,3.3,1.75,1.18,1.73,,1.56,1.55,1.48,1.43,1.58,1.0
c_1,3.79,3.41,3.69,0.4,4.11,4.23,2.04,1.49,,1.03,1.7,1.43,1.57,1.53,1.46,1.3
b_1,4.2,2.66,3.7,2.15,0.38,3.84,1.81,1.97,1.63,1.49,,2.17,1.85,1.59,2.32,1.34
a_1,3.33,3.87,3.59,3.17,2.6,0.31,2.73,2.37,1.36,1.65,1.73,1.48,,1.51,,1.29
h_1,2.19,1.76,1.85,1.73,1.94,1.77,0.26,1.22,0.85,0.51,0.88,0.9,0.74,,0.66,0.69
g_1,1.58,2.41,2.23,2.51,2.32,1.67,0.66,0.24,0.68,0.96,0.79,0.97,1.03,0.43,0.78,
c_0,1.47,1.61,1.11,,1.82,2.04,0.66,1.14,0.28,0.99,0.85,0.61,0.74,0.54,0.61,0.52
d_0,1.41,1.03,,1.57,1.82,1.34,1.14,1.01,0.69,0.28,0.82,0.66,0.67,0.56,0.56,0.82
b_0,1.65,2.08,1.73,2.14,,2.21,0.88,0.87,0.42,0.66,0.26,0.76,0.7,0.53,0.7,0.49
f_0,,1.63,1.33,1.73,1.55,1.68,0.9,0.48,0.67,0.82,0.64,0.25,0.81,0.84,0.93,0.43
a_0,1.69,1.43,1.61,1.83,1.43,,1.06,0.82,0.67,0.82,0.5,0.7,0.22,0.69,,0.67
h_0,1.31,1.32,1.3,1.1,1.02,1.16,,0.76,0.64,0.64,0.57,0.54,0.43,,0.6,0.64
e_0,,,1.76,1.94,1.11,,1.06,0.73,0.92,0.99,0.8,0.36,,0.51,0.21,0.59
g_0,1.2,1.38,1.45,1.17,1.29,1.16,0.54,,0.76,0.57,0.62,0.8,0.55,0.38,0.55,
