,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.94,0.7,0.4,0.38,0.32,0.21,0.26,0.24,0.23,0.22,0.14,0.24,0.21,0.12,0.17,0.19
e_1,0.41,0.94,0.43,0.46,0.32,0.27,0.31,0.28,0.23,0.43,0.3,0.28,0.23,0.16,0.19,0.21
d_1,0.48,0.4,0.95,0.34,0.41,0.27,0.29,0.21,0.46,0.14,0.26,0.26,0.22,0.2,0.16,0.18
c_1,0.48,0.41,0.45,0.94,0.65,0.26,0.28,0.26,0.15,0.22,0.23,0.22,0.23,0.18,0.17,0.19
b_1,0.55,0.43,0.5,0.3,0.94,0.43,0.3,0.26,0.26,0.27,0.27,0.17,0.26,0.19,0.16,0.19
a_1,0.65,0.41,0.54,0.5,0.36,0.93,0.4,0.28,0.38,0.3,0.27,0.33,0.3,0.28,0.18,0.24
h_1,0.89,0.63,0.68,0.65,0.56,0.37,0.75,0.44,0.38,0.35,0.41,0.36,0.27,0.23,0.31,0.42
g_1,0.65,0.62,1.03,0.6,0.61,0.41,0.45,0.75,0.35,0.34,0.59,0.41,0.34,0.28,0.29,0.26
c_0,0.82,0.85,0.65,0.53,0.51,0.39,0.49,0.48,0.65,0.51,0.44,0.73,0.41,0.36,0.39,0.37
d_0,0.84,0.63,0.59,1.14,0.62,0.38,0.54,0.44,0.31,0.63,0.37,0.41,0.42,0.37,0.32,0.35
f_0,0.59,0.58,0.88,0.8,0.69,0.45,0.49,0.39,0.48,0.5,0.65,0.46,0.48,0.68,0.35,0.33
b_0,0.8,0.75,0.73,0.78,0.49,0.41,0.57,0.47,0.38,0.49,0.45,0.63,0.49,0.35,0.6,0.36
h_0,1.06,0.91,0.86,0.84,0.54,0.41,0.41,0.6,0.53,0.48,0.44,0.44,0.32,0.3,0.37,0.41
e_0,1.22,0.54,0.86,0.71,0.73,0.5,0.7,0.51,0.5,0.42,0.29,0.48,0.58,0.64,0.39,0.38
a_0,0.97,0.69,0.95,0.79,0.77,0.3,0.61,0.54,0.56,0.45,0.49,0.43,0.49,0.4,0.62,0.47
g_0,0.77,0.79,1.23,0.86,0.71,0.51,0.47,0.41,0.58,0.45,0.68,0.56,0.49,0.43,0.36,0.3
