,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.34,1.08,1.41,1.0,1.2,1.05,2.25,3.71,2.3,2.77,2.13,2.78,3.34,2.67,1.71,3.42
f_1,1.71,2.34,1.15,1.08,1.07,0.9,1.79,2.24,2.1,2.01,1.95,1.36,2.57,2.76,1.97,2.84
c_1,1.0,1.08,2.52,1.33,1.81,1.11,2.3,1.93,1.12,1.62,1.87,2.07,2.61,2.0,2.98,3.01
d_1,1.22,1.19,0.79,2.62,1.06,1.19,2.25,1.65,3.89,3.35,2.41,2.78,3.21,2.58,2.59,3.05
b_1,0.95,1.22,1.04,1.21,2.76,2.01,2.14,2.72,2.38,1.69,1.78,2.68,3.08,2.33,2.4,2.6
a_1,1.02,1.35,1.22,1.16,0.87,3.31,2.37,2.8,3.18,2.97,2.3,2.52,3.91,1.72,2.94,2.97
h_1,1.12,1.69,1.27,1.21,1.16,1.17,4.07,2.06,2.67,2.77,2.78,2.93,2.07,2.34,2.88,3.89
d_0,1.14,1.15,2.22,0.84,1.21,1.07,2.65,3.82,2.14,2.8,2.56,2.72,3.31,2.7,2.87,3.78
c_0,1.45,1.38,0.94,1.17,1.13,1.14,2.53,2.8,4.08,4.29,2.57,3.05,3.54,2.97,2.94,3.11
b_0,1.43,1.51,1.49,1.08,0.7,0.89,2.54,2.92,2.72,4.46,2.67,2.58,3.68,5.08,2.83,3.94
g_1,1.18,1.26,1.22,1.54,1.27,1.14,2.67,2.1,2.96,2.91,5.04,3.52,2.79,2.82,2.83,2.52
f_0,0.92,1.16,1.44,1.42,1.08,1.16,2.69,2.87,2.74,3.05,2.98,4.83,3.94,2.55,5.48,3.46
h_0,1.14,1.61,1.36,1.34,1.1,1.17,2.02,2.41,2.83,2.79,3.73,2.57,2.79,2.55,2.84,4.05
a_0,1.34,1.26,1.52,1.28,1.12,0.78,2.81,3.11,2.62,2.36,3.14,3.15,3.56,4.9,3.21,3.88
e_0,0.86,1.55,1.16,1.57,1.16,1.22,2.44,2.3,2.79,2.72,3.17,2.45,4.03,2.88,5.05,3.66
g_0,0.97,1.14,1.4,1.8,1.41,1.09,2.4,2.26,2.94,2.44,1.82,4.14,3.33,2.47,2.93,2.93
