,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.35,0.27,0.3,0.21,0.21,0.32,0.59,0.47,0.84,,0.55,0.72,0.73,0.88,0.46,0.89
f_1,0.27,2.38,0.48,0.22,0.29,0.22,0.46,0.57,0.67,0.73,0.61,,0.57,0.67,0.65,0.7
e_1,0.21,0.22,2.52,0.31,0.25,0.28,0.54,0.52,0.52,1.0,0.59,0.66,0.65,0.88,,0.85
c_1,0.29,0.36,0.27,2.57,0.46,0.29,0.54,0.61,,0.53,0.31,0.64,0.54,0.9,0.58,0.68
b_1,0.33,0.29,0.29,0.22,2.78,0.44,0.57,0.64,0.63,0.68,,0.49,0.4,0.71,0.55,0.72
a_1,0.23,0.22,0.25,0.3,0.3,3.26,0.65,0.4,0.61,0.56,0.64,0.68,,0.69,0.88,0.95
h_1,0.52,0.8,0.49,0.43,0.42,0.43,3.74,1.44,1.35,1.04,1.36,0.92,1.08,,0.92,1.88
g_1,0.73,0.41,0.35,0.54,0.42,0.58,1.05,4.16,1.01,1.17,1.57,1.49,0.91,1.72,1.41,
c_0,0.67,0.57,0.73,,0.49,0.58,0.98,1.28,3.53,1.56,2.03,1.22,1.48,1.51,1.42,1.6
d_0,,0.58,0.56,1.13,0.66,0.72,1.41,1.02,1.07,3.45,1.42,1.64,1.64,1.74,1.34,0.99
b_0,0.7,0.61,0.59,0.94,,0.53,1.36,1.18,1.26,1.37,3.73,1.43,1.7,1.51,,1.45
f_0,0.54,,0.46,0.55,0.64,0.57,1.51,1.13,1.79,1.28,1.32,3.92,1.21,1.29,2.79,1.89
a_0,0.51,0.67,0.56,0.78,0.8,,1.19,1.22,1.23,1.12,1.32,1.45,4.38,1.86,,1.42
h_0,0.8,1.04,0.75,0.64,0.71,0.69,,1.45,1.88,1.74,1.51,1.74,1.93,,1.26,2.4
e_0,0.68,0.46,,0.64,0.92,0.54,1.27,1.02,1.35,1.49,,1.23,,2.13,4.61,1.75
g_0,0.95,0.7,0.63,0.74,0.69,0.57,1.38,,1.6,2.13,1.6,2.16,1.72,2.18,1.86,
