,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.92,0.78,1.11,0.98,0.92,0.74,0.7,0.9,0.65,0.72,0.71,0.61,0.57,0.6,0.59
d_1,1.09,1.0,1.12,0.87,0.89,0.84,0.72,0.57,0.64,0.82,0.69,0.62,0.55,0.63,0.53,0.5
f_1,1.28,0.89,1.0,0.95,0.9,0.82,0.56,0.68,0.65,0.64,0.62,0.61,0.53,0.59,0.49,0.58
c_1,0.89,1.15,1.04,1.0,1.32,0.77,0.71,0.68,0.48,0.61,0.53,0.54,0.58,0.56,0.53,0.55
b_1,1.01,1.05,1.11,0.78,1.0,1.26,0.85,0.77,0.69,0.74,0.62,0.67,0.63,0.51,0.58,0.59
a_1,1.07,1.21,1.19,1.27,0.84,1.0,0.79,0.92,0.83,0.76,0.86,0.8,0.79,0.74,0.74,0.65
h_1,1.33,1.44,1.7,1.4,1.22,1.25,1.0,1.19,0.96,0.91,0.94,0.85,0.91,0.75,0.8,0.84
g_1,1.42,1.74,1.41,1.45,1.3,1.11,0.84,1.0,0.82,0.95,0.89,1.03,0.79,0.78,0.87,0.77
d_0,1.15,1.58,1.5,2.09,1.5,1.19,1.07,1.23,1.0,0.85,1.02,0.89,0.94,0.87,0.83,0.82
c_0,1.56,1.26,1.56,1.56,1.3,1.25,1.11,1.05,1.24,1.0,1.33,1.09,0.96,1.01,0.96,0.83
b_0,1.38,1.45,1.56,1.89,1.7,1.22,1.08,1.11,1.05,0.74,1.0,1.08,0.93,1.1,0.91,0.91
f_0,1.45,1.59,1.62,1.86,1.46,1.19,1.23,0.98,1.12,0.94,0.97,1.0,0.99,0.89,1.3,0.7
h_0,1.68,1.84,1.92,1.66,1.64,1.27,1.12,1.25,1.03,1.04,1.07,0.96,1.0,0.95,0.89,1.0
a_0,1.71,1.59,1.78,1.83,1.97,1.22,1.34,1.3,1.14,0.98,0.91,1.11,1.06,1.0,0.98,0.93
e_0,1.73,1.87,2.01,1.9,1.75,1.23,1.3,1.12,1.17,1.09,1.11,0.78,1.09,1.04,1.0,0.87
g_0,1.74,2.08,1.71,1.81,1.74,1.5,1.17,1.28,1.2,1.19,1.15,1.34,0.99,1.05,1.09,1.0
