,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.53,1.47,0.95,1.03,0.8,0.74,1.04,1.11,1.09,1.23,1.16,1.02,1.21,0.75,0.95,1.12
e_1,0.98,1.54,0.96,1.23,0.97,0.73,1.22,1.18,1.07,1.78,1.2,1.3,1.3,0.96,1.04,1.2
d_1,1.13,1.0,1.55,0.85,1.0,0.83,1.2,0.97,1.79,0.93,1.32,1.12,1.21,1.11,0.97,1.0
c_1,1.09,0.92,1.03,1.61,1.49,0.89,1.18,1.14,0.85,1.01,0.95,1.14,1.2,0.96,0.96,1.18
b_1,1.23,0.99,1.04,0.84,1.62,1.29,1.22,1.1,1.31,1.14,1.04,1.18,1.33,1.05,0.99,1.16
a_1,1.3,1.12,1.18,1.08,0.97,1.8,1.46,1.1,1.39,1.18,1.41,1.11,1.39,1.22,1.02,1.3
h_1,1.52,1.27,1.31,1.2,1.16,0.92,1.87,1.49,1.28,1.33,1.29,1.44,1.4,1.19,1.37,1.86
g_1,1.21,1.11,1.65,1.21,1.21,0.99,1.44,1.92,1.49,1.25,1.43,1.88,1.38,1.3,1.35,1.39
c_0,1.43,1.48,1.23,1.27,1.01,0.98,1.61,1.51,1.84,1.74,2.38,1.58,1.77,1.42,1.57,1.65
d_0,1.37,1.19,1.23,1.96,1.37,0.99,1.56,1.39,1.08,1.82,1.41,1.44,1.6,1.38,1.29,1.7
b_0,1.38,1.34,1.36,1.45,1.11,0.96,1.57,1.49,1.34,1.63,1.86,1.53,1.84,1.51,2.24,1.6
f_0,1.12,1.09,1.54,1.37,1.35,1.13,1.55,1.45,1.63,1.53,1.58,1.89,1.87,2.36,1.47,1.51
h_0,1.6,1.46,1.51,1.47,1.18,0.99,1.42,1.89,1.58,1.53,1.55,1.43,1.5,1.18,1.26,1.82
e_0,1.71,1.28,1.48,1.37,1.33,1.16,1.72,1.57,1.63,1.46,1.61,1.18,2.02,1.97,1.52,1.69
a_0,1.52,1.41,1.57,1.37,1.23,0.95,1.58,1.53,1.7,1.52,1.47,1.73,1.99,1.44,1.94,1.77
g_0,1.32,1.37,1.9,1.44,1.34,1.12,1.37,1.6,1.63,1.35,1.76,2.06,1.75,1.66,1.48,1.44
