,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.64,2.61,3.67,2.64,2.79,0.6,0.93,0.62,0.54,0.64,0.97,0.36,0.58,0.55,0.44
e_1,1.73,1.1,3.5,3.36,3.66,2.88,0.75,1.01,0.63,0.65,0.7,0.83,0.48,0.74,0.96,0.43
d_1,3.72,4.08,1.1,3.72,2.68,2.74,0.94,0.58,1.36,0.62,0.65,0.6,0.4,0.51,0.52,0.28
c_1,3.17,2.51,4.54,1.1,3.73,2.91,1.01,0.93,0.42,1.08,0.71,0.74,0.45,0.62,0.57,0.49
b_1,4.5,4.35,4.16,2.02,1.12,3.72,1.19,1.16,0.8,1.25,1.27,0.82,0.61,0.87,0.75,0.7
a_1,7.15,6.25,5.09,6.02,3.02,1.13,2.14,1.79,1.49,1.43,1.89,1.1,0.86,2.12,1.2,0.96
h_1,10.83,11.39,11.33,10.46,10.27,10.61,1.64,3.47,2.59,2.22,2.13,2.15,1.97,1.92,2.08,1.67
g_1,15.5,14.47,13.17,14.78,12.77,12.35,3.2,1.7,2.91,2.58,2.6,2.88,1.51,2.36,2.92,1.79
d_0,13.02,8.26,21.69,14.45,17.43,13.21,3.9,4.83,1.94,3.17,2.76,2.93,2.18,2.95,3.15,2.32
c_0,20.75,21.0,8.4,31.08,17.21,13.4,6.06,3.91,5.36,1.94,3.32,2.77,2.39,3.29,3.64,2.21
b_0,18.18,15.39,13.66,28.16,26.63,17.17,5.37,4.49,4.17,1.8,1.89,3.57,2.54,2.95,3.39,2.31
f_0,28.04,17.55,16.85,20.47,20.76,20.31,6.23,3.29,4.49,4.01,3.88,1.95,2.49,2.93,3.97,1.63
h_0,27.01,21.62,21.41,24.05,18.82,18.52,7.62,5.98,5.05,4.09,4.08,4.2,5.0,3.81,4.01,2.95
a_0,27.41,23.29,23.54,25.94,22.58,28.62,7.0,6.54,6.41,4.63,2.57,4.07,3.01,2.27,4.41,3.19
e_0,45.91,34.6,23.88,27.46,22.95,27.78,7.24,5.0,5.24,4.94,4.93,2.43,3.06,4.56,2.32,3.1
g_0,32.79,29.78,27.89,30.23,30.03,27.78,6.62,10.45,7.52,6.82,5.95,5.9,3.08,5.52,5.35,6.2
