,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.77,0.63,0.55,0.75,0.57,0.61,0.92,0.9,0.95,1.75,1.09,1.05,0.99,0.91,0.53,1.09
f_1,1.08,2.83,0.64,0.6,0.48,0.49,0.79,0.72,0.89,0.76,0.96,0.41,0.91,0.77,0.65,0.74
d_1,0.59,0.72,2.93,0.44,0.48,0.53,1.12,1.04,1.66,0.37,1.12,1.13,0.94,0.99,1.02,0.98
c_1,0.6,0.59,0.44,3.16,1.32,0.39,0.72,0.84,0.32,0.97,0.76,0.9,0.89,0.91,0.96,0.85
b_1,0.49,0.67,0.58,0.63,3.69,1.35,0.75,0.83,0.78,0.74,0.36,0.75,0.79,0.72,0.93,0.78
a_1,0.57,0.53,0.76,0.75,0.48,5.61,1.02,0.78,0.84,1.0,0.78,0.93,1.34,0.35,0.95,1.15
h_1,0.71,1.04,0.85,0.75,0.69,0.63,2.88,1.35,1.04,0.86,1.14,0.89,0.62,1.23,1.09,1.78
g_1,0.54,0.58,1.41,0.57,0.65,0.68,1.14,3.58,1.13,0.77,0.91,1.84,1.24,1.1,1.23,0.67
c_0,0.8,0.84,0.92,0.42,0.52,0.76,1.11,1.11,2.22,1.07,2.1,1.27,1.33,1.39,1.33,1.32
d_0,0.71,0.71,0.3,1.56,0.81,0.64,1.03,1.01,0.86,2.32,1.04,1.21,1.08,1.29,1.37,1.23
b_0,0.81,0.85,0.8,0.69,0.33,0.55,1.15,1.03,1.05,1.29,2.51,1.33,1.47,2.71,1.59,1.23
f_0,0.51,0.52,0.91,0.93,0.64,0.69,1.18,1.3,1.2,1.37,1.35,2.79,1.49,1.47,2.87,1.06
h_0,0.68,1.19,0.84,0.65,0.6,0.65,0.64,1.35,1.16,1.2,0.93,1.23,0.82,1.27,1.23,1.79
a_0,0.81,0.68,1.02,0.74,0.7,0.39,1.09,1.05,1.25,0.9,1.07,0.97,1.35,3.12,1.0,1.26
e_0,0.4,0.75,0.84,0.94,0.79,0.64,1.13,1.25,1.04,1.19,1.45,1.37,1.34,1.46,3.66,1.35
g_0,0.74,0.74,1.2,0.69,0.7,0.7,1.24,0.66,1.12,0.98,1.28,1.85,1.09,1.35,1.2,0.77
