,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,0.87,1.11,1.0,0.67,0.49,0.58,0.46,0.39,0.39,0.42,0.36,0.37,0.31,0.32
f_1,1.25,1.0,0.83,0.93,0.85,0.68,0.4,0.47,0.43,0.4,0.39,0.37,0.29,0.33,0.26,0.31
d_1,1.12,1.21,1.0,0.9,0.84,0.74,0.5,0.47,0.37,0.54,0.46,0.4,0.38,0.34,0.33,0.27
c_1,0.91,1.06,1.13,1.0,1.21,0.84,0.51,0.36,0.49,0.37,0.38,0.41,0.37,0.33,0.33,0.34
b_1,1.0,1.15,1.17,0.83,1.0,1.24,0.54,0.45,0.5,0.52,0.45,0.43,0.38,0.34,0.34,0.38
a_1,1.5,1.45,1.32,1.2,0.84,1.0,0.74,0.65,0.64,0.56,0.59,0.52,0.48,0.46,0.53,0.45
h_1,2.04,2.49,2.03,1.9,1.85,1.41,1.0,0.91,1.01,0.8,0.77,0.75,0.71,0.65,0.64,0.75
d_0,1.71,2.15,2.16,2.75,2.24,1.55,1.05,1.0,0.96,0.69,0.8,0.84,0.79,0.7,0.72,0.73
g_1,2.25,2.42,2.67,1.98,1.95,1.54,0.98,1.04,1.0,1.05,0.86,1.02,0.74,0.81,0.84,0.81
c_0,2.45,2.54,1.92,2.7,2.01,1.76,1.23,1.45,0.94,1.0,1.22,1.0,0.89,0.95,0.86,0.82
b_0,2.48,2.58,2.22,2.82,2.38,1.67,1.28,1.19,1.13,0.82,1.0,0.89,0.95,1.06,0.85,0.85
f_0,2.45,2.63,2.43,2.47,2.38,1.93,1.36,1.28,1.0,1.06,1.04,1.0,1.02,0.84,1.15,0.74
h_0,2.89,3.32,2.88,2.68,2.55,2.02,1.35,1.23,1.34,1.13,1.05,0.96,1.0,0.81,0.84,1.02
a_0,2.88,3.01,2.84,2.97,2.83,1.93,1.55,1.36,1.22,1.04,0.96,1.18,1.25,1.0,0.97,0.86
e_0,3.32,3.69,3.08,2.91,2.98,2.02,1.54,1.39,1.16,1.21,1.15,0.86,1.15,1.0,1.0,1.02
g_0,3.16,3.23,3.55,2.98,2.71,2.25,1.33,1.31,1.2,1.24,1.22,1.36,0.98,1.1,0.96,1.0
