,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.92,0.46,0.35,0.44,0.33,0.2,0.38,0.3,0.59,0.32,0.31,0.31,0.37,0.28,0.18,0.26
f_1,0.71,0.92,0.35,0.36,0.31,0.19,0.36,0.27,0.37,0.27,0.22,0.28,0.34,0.19,0.17,0.29
d_1,0.46,0.44,0.92,0.3,0.31,0.22,0.33,0.33,0.29,0.61,0.35,0.39,0.38,0.26,0.24,0.31
c_1,0.4,0.42,0.37,0.91,0.58,0.23,0.36,0.3,0.34,0.23,0.27,0.23,0.34,0.23,0.23,0.29
b_1,0.39,0.44,0.37,0.36,0.9,0.43,0.4,0.34,0.35,0.36,0.34,0.22,0.36,0.22,0.25,0.31
a_1,0.39,0.5,0.41,0.37,0.34,0.89,0.42,0.26,0.38,0.36,0.32,0.29,0.37,0.19,0.22,0.32
h_1,0.45,0.56,0.46,0.39,0.33,0.21,0.68,0.44,0.38,0.37,0.36,0.31,0.31,0.26,0.26,0.36
g_1,0.44,0.46,0.57,0.35,0.32,0.22,0.42,0.65,0.36,0.4,0.52,0.3,0.37,0.27,0.32,0.28
d_0,0.4,0.47,0.32,0.61,0.4,0.24,0.41,0.3,0.55,0.29,0.35,0.3,0.4,0.3,0.27,0.35
c_0,0.48,0.47,0.47,0.32,0.31,0.23,0.41,0.35,0.41,0.55,0.41,0.62,0.43,0.36,0.3,0.39
f_0,0.39,0.43,0.47,0.43,0.37,0.26,0.43,0.38,0.41,0.38,0.56,0.37,0.43,0.31,0.5,0.4
b_0,0.49,0.47,0.47,0.38,0.3,0.19,0.4,0.38,0.38,0.35,0.38,0.54,0.43,0.53,0.31,0.38
h_0,0.47,0.57,0.44,0.39,0.34,0.24,0.29,0.41,0.4,0.33,0.35,0.3,0.32,0.22,0.26,0.38
a_0,0.47,0.48,0.47,0.37,0.35,0.2,0.42,0.34,0.38,0.37,0.35,0.31,0.43,0.47,0.29,0.33
e_0,0.36,0.55,0.46,0.38,0.4,0.21,0.44,0.36,0.37,0.4,0.29,0.39,0.41,0.33,0.47,0.36
g_0,0.41,0.37,0.64,0.43,0.3,0.22,0.39,0.32,0.35,0.4,0.46,0.38,0.41,0.29,0.26,0.29
