,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.05,1.77,1.5,1.77,1.45,1.51,0.5,0.43,0.61,0.5,0.43,0.49,0.3,0.41,0.39,0.36
e_1,1.23,1.05,1.78,2.09,1.71,1.48,0.74,0.57,0.7,0.66,0.51,0.7,0.41,0.46,0.4,0.52
d_1,2.05,2.02,1.05,1.6,1.61,1.22,0.61,0.6,0.45,0.65,0.51,0.46,0.41,0.4,0.29,0.42
c_1,1.99,1.47,2.16,1.05,1.97,1.48,0.76,0.62,0.63,0.36,0.51,0.48,0.39,0.43,0.38,0.41
b_1,2.71,2.22,1.98,1.31,1.06,2.1,0.89,0.86,0.74,0.65,0.9,0.63,0.53,0.51,0.49,0.5
a_1,2.87,3.03,3.47,2.97,1.6,1.07,1.11,0.91,1.19,0.96,1.0,0.86,0.76,1.19,0.78,0.83
h_1,5.42,4.42,4.71,4.52,4.0,3.66,1.26,1.28,1.7,1.42,1.45,1.11,1.25,1.13,1.15,1.27
c_0,6.6,5.95,3.83,7.31,5.04,4.58,2.32,1.4,2.01,2.38,2.1,1.65,1.38,1.7,1.22,1.36
g_1,6.03,5.53,6.35,7.17,5.07,4.0,1.8,1.54,1.29,1.64,1.63,1.66,0.96,1.58,1.28,1.56
d_0,5.81,3.83,7.99,7.0,6.1,4.96,2.33,1.52,2.4,1.43,1.69,1.76,1.46,1.57,1.35,1.54
b_0,6.73,6.52,6.14,8.34,7.04,4.89,2.51,1.23,2.33,1.92,1.41,1.86,1.49,2.3,1.43,1.6
f_0,10.0,6.09,6.86,6.8,5.76,4.91,2.97,1.85,1.8,1.88,1.85,1.41,1.47,1.95,1.0,2.03
h_0,8.75,7.95,8.05,7.93,6.85,5.76,3.69,2.22,3.56,2.43,2.17,2.38,2.09,2.11,1.9,1.72
a_0,9.62,8.07,8.34,10.15,8.69,6.74,4.06,2.18,2.59,2.44,1.44,2.2,2.01,1.53,1.8,2.37
g_0,8.74,8.83,9.91,8.8,8.46,6.14,2.63,2.78,4.21,2.59,2.45,3.21,1.73,2.52,2.23,2.38
e_0,12.57,11.8,8.53,10.22,9.71,7.24,3.6,2.64,2.92,2.53,2.75,1.53,2.41,2.62,1.69,1.53
