,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.28,0.89,0.89,0.89,0.87,0.46,0.47,0.31,0.38,0.35,,0.3,0.35,0.32,0.29
e_1,0.78,1.0,0.82,1.09,0.83,0.6,0.47,0.43,0.36,0.63,0.36,0.51,0.36,0.34,0.35,
d_1,1.12,1.22,1.0,0.86,0.89,0.64,0.53,0.55,0.4,,0.56,0.34,0.3,0.27,0.28,0.33
c_1,1.12,0.92,1.16,1.0,1.09,0.7,0.61,,0.38,0.36,0.42,0.34,0.34,0.27,0.4,0.35
b_1,1.12,1.21,1.12,0.92,1.0,1.18,0.64,0.57,0.4,0.48,,0.39,0.47,0.4,0.32,0.31
a_1,1.15,1.67,1.57,1.42,0.85,1.0,0.64,0.67,,0.82,0.53,0.51,0.53,,0.37,
h_1,2.17,2.12,1.9,1.65,1.57,1.57,1.0,0.81,0.99,0.84,0.99,0.72,,0.6,0.75,0.54
c_0,2.13,2.32,1.83,,1.75,1.48,1.23,1.0,1.04,1.03,1.3,0.83,0.84,0.76,0.72,0.61
g_1,3.23,2.75,2.51,2.63,2.52,,1.01,0.96,1.0,0.76,0.86,0.97,0.57,0.69,,
d_0,2.63,1.58,,2.8,2.1,1.22,1.19,0.97,1.32,1.0,0.94,0.95,0.84,0.88,0.88,0.71
b_0,2.85,2.78,1.78,2.41,,1.9,1.01,0.77,1.16,1.06,1.0,1.29,0.86,,0.76,0.85
f_0,,1.97,2.97,2.95,2.56,1.97,1.39,1.2,1.03,1.06,0.77,1.0,1.11,0.97,0.57,1.02
h_0,3.32,2.74,3.36,2.93,2.14,1.89,,1.19,1.76,1.19,1.16,0.9,,0.72,1.05,0.79
a_0,2.89,2.95,3.73,3.71,2.51,,1.67,1.32,1.45,1.13,,1.03,1.39,1.0,0.94,
g_0,3.12,2.87,3.53,2.5,3.15,2.69,1.34,1.39,,1.13,1.32,1.75,0.96,1.07,,0.84
e_0,3.45,,3.02,2.84,3.21,,1.87,1.65,,1.41,1.18,0.98,1.27,,1.19,1.0
