,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,104.95,47.36,83.15,59.01,84.82,349.46,9604.35,23515.02,17984.27,16875.99,32435.84,46976.05,86497.54,108970.1,99866.69,191816.07
f_1,74.42,112.13,55.25,61.64,69.01,372.95,6872.89,13793.04,19106.65,17595.64,33567.8,22513.66,69848.09,80862.71,112262.57,179670.95
c_1,35.5,51.23,135.03,73.42,107.92,252.7,6949.65,10084.9,9883.31,17204.3,24912.08,34905.1,61781.87,90624.03,117097.53,145459.31
d_1,44.56,52.9,46.6,138.94,74.15,279.94,8252.86,8770.0,26453.53,19121.19,37142.98,36521.63,79890.72,102768.62,136441.8,133817.34
b_1,40.57,46.4,59.02,60.15,160.7,419.39,7190.18,11885.09,16455.77,15430.98,14743.64,30089.31,53961.66,84625.3,106185.97,152538.04
a_1,25.44,26.36,40.48,39.43,37.36,521.04,5158.79,8751.08,10180.55,11215.73,19258.91,19663.69,39415.47,55423.35,83572.22,125147.35
h_1,10.65,17.82,15.38,16.96,20.21,72.37,3544.55,3590.55,4868.25,6608.71,9090.52,9740.44,21312.76,21898.56,33128.8,48724.59
d_0,9.02,12.34,23.37,10.47,18.55,61.21,1655.33,4617.31,3854.18,4907.56,6312.5,8129.35,17291.61,23430.0,25468.38,35544.85
c_0,9.86,11.63,10.47,13.17,14.12,60.69,1672.41,2836.69,5677.99,4616.02,11251.98,8950.86,16862.56,20825.52,22015.79,30345.22
g_1,9.21,8.95,12.41,17.26,14.89,56.19,1286.09,1970.22,3455.21,7307.41,6172.45,10218.75,15990.98,17483.63,27154.56,21213.05
b_0,7.19,9.01,12.01,11.45,9.83,59.39,1404.54,2350.67,3100.86,3534.46,8799.02,6784.66,23727.76,15552.07,23175.98,31115.56
f_0,6.0,7.37,11.23,10.97,13.42,55.48,1481.2,2570.34,3203.35,2954.49,6203.74,10036.59,14883.8,20831.57,35008.25,22552.55
a_0,5.81,7.41,9.22,9.07,9.46,30.41,1023.26,2079.92,2776.71,2309.42,3706.36,4511.25,16629.24,12190.92,16896.08,18719.34
h_0,5.64,8.59,7.89,8.44,9.89,36.67,578.17,1723.64,2554.51,3325.56,4225.07,4253.44,9098.53,10943.51,16109.22,27652.44
e_0,3.72,6.38,6.87,7.79,8.71,28.61,962.44,1597.7,2422.63,2309.57,4041.87,3513.67,9655.82,12293.17,25139.21,21592.45
g_0,4.48,5.28,6.71,10.49,7.49,29.24,807.29,1282.91,2262.08,1668.49,3145.68,5949.56,8327.24,9722.47,12948.76,15306.58
