,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.73,1.0,1.06,1.05,0.96,1.07,1.05,1.55,1.0,1.03,1.17,0.98,1.01,1.37,1.21
f_1,1.36,1.0,0.94,1.0,0.86,1.07,0.75,0.92,0.98,0.91,1.03,0.87,0.82,0.96,0.87,0.99
d_1,1.0,1.06,1.0,1.0,0.85,1.04,1.11,0.8,0.94,1.4,0.93,0.95,1.05,1.07,0.82,0.93
c_1,0.95,1.0,1.0,1.0,1.53,0.86,1.08,1.0,0.75,0.85,0.79,1.02,1.07,0.86,0.93,1.01
b_1,0.95,1.17,1.17,0.66,1.0,1.33,1.08,1.22,0.78,1.1,1.08,1.09,0.94,0.98,0.92,1.01
a_1,1.04,0.93,0.97,1.16,0.75,1.0,1.28,1.0,0.98,1.02,1.15,1.13,1.19,,0.99,0.99
h_1,0.88,1.35,0.92,0.94,0.93,0.79,1.0,1.12,1.04,0.92,0.98,0.98,1.26,0.98,1.11,0.89
g_1,0.96,1.05,1.22,1.04,0.82,0.97,0.86,1.0,0.93,0.8,0.95,1.13,0.94,1.06,1.01,0.98
d_0,0.62,1.09,1.08,1.37,1.26,0.98,0.94,1.11,1.0,0.91,1.07,0.86,1.23,0.99,1.2,0.88
c_0,1.01,1.13,0.74,1.11,0.9,0.94,1.04,1.26,1.11,1.0,1.57,0.84,1.28,0.99,1.19,1.07
b_0,0.95,0.98,1.05,1.44,0.79,0.74,1.01,1.08,0.89,0.63,1.0,0.94,0.99,1.41,0.91,0.99
f_0,0.87,1.13,1.06,1.04,0.96,0.83,1.08,0.88,1.19,1.19,1.06,1.0,1.03,1.15,0.94,1.51
h_0,1.0,1.24,0.94,0.99,0.96,0.84,0.77,1.11,0.81,0.8,0.99,0.92,1.0,0.88,1.33,0.85
a_0,0.95,1.0,0.89,1.27,0.99,,1.06,1.0,1.01,1.03,0.7,0.83,1.12,1.0,1.08,0.85
g_0,0.72,1.18,1.22,1.0,1.13,0.98,0.91,1.0,0.89,0.81,1.04,1.07,0.74,0.97,1.0,0.92
e_0,0.85,1.06,1.07,0.91,0.96,1.08,1.23,0.95,1.14,0.89,1.15,0.66,1.03,1.23,0.98,1.0
