,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.76,1.31,0.78,0.77,0.74,0.65,0.86,0.76,0.81,0.99,0.82,0.7,1.01,1.05,0.87,0.62
e_1,0.84,1.81,0.75,1.03,0.77,0.76,0.92,0.88,0.87,1.57,1.02,1.02,0.96,0.99,0.94,0.8
d_1,0.91,0.79,1.86,0.63,0.75,0.84,0.98,1.1,1.64,0.75,1.2,0.97,1.05,0.95,1.05,0.97
c_1,0.77,0.69,0.82,2.05,1.33,0.75,0.91,0.85,0.64,0.84,0.64,1.01,0.85,0.73,0.94,1.0
b_1,0.78,0.76,0.83,0.8,2.09,1.4,1.01,0.96,0.94,0.94,0.73,0.91,1.11,0.82,0.92,1.01
a_1,0.94,0.78,0.87,0.88,0.8,2.76,1.07,0.99,0.88,0.94,1.1,1.0,0.97,0.75,1.02,1.21
h_1,1.03,0.75,1.05,0.85,0.68,0.76,1.77,1.26,0.99,0.89,1.21,1.05,0.83,1.16,1.38,1.21
g_1,0.81,0.79,1.24,0.8,0.81,0.78,0.96,2.01,1.14,0.76,1.15,1.46,1.0,1.12,0.89,1.07
c_0,0.92,0.85,0.99,0.75,0.72,0.86,1.06,1.14,1.54,0.98,1.91,1.25,1.15,1.39,1.32,1.17
d_0,0.86,0.85,0.7,1.53,0.94,0.73,0.9,1.05,0.65,1.35,1.0,0.96,0.88,0.89,0.99,1.14
b_0,0.92,0.81,0.96,0.92,0.77,0.7,1.18,1.25,1.1,0.96,1.73,1.28,1.19,2.19,1.25,1.23
f_0,0.8,0.71,0.95,0.96,0.83,0.97,1.21,1.16,1.13,0.94,1.15,1.73,1.1,1.19,1.2,2.25
h_0,1.1,0.89,0.91,0.81,0.8,0.8,0.84,1.33,0.99,0.91,1.01,1.09,0.82,1.23,1.36,0.83
a_0,0.95,0.77,1.02,0.89,0.86,0.61,1.21,1.29,1.1,0.98,1.18,1.0,1.23,2.14,1.19,1.16
g_0,0.83,0.73,1.26,0.84,0.79,0.85,1.13,0.96,1.07,0.84,1.14,1.49,1.02,1.13,0.87,1.36
e_0,0.93,0.61,0.98,0.92,0.84,0.88,1.21,1.21,1.1,0.79,1.12,1.31,1.15,1.19,1.15,2.25
