,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.75,0.84,0.79,0.97,0.75,0.76,0.92,1.48,0.85,0.85,1.05,0.97,1.0,0.84,1.04,0.76
f_1,1.27,1.79,0.79,0.79,0.67,0.63,0.93,1.0,0.89,0.94,1.02,0.67,0.99,0.9,0.87,0.71
d_1,0.77,0.89,1.98,0.65,0.69,0.66,1.01,0.63,1.16,1.71,1.15,0.98,1.04,1.22,1.03,1.05
c_1,0.69,0.78,0.74,2.0,1.47,0.85,0.93,0.94,0.87,0.6,0.74,0.96,0.93,0.98,0.95,0.96
b_1,0.76,0.77,0.81,0.83,2.18,1.48,0.97,0.87,0.82,0.89,0.66,0.99,0.91,0.72,0.87,1.09
a_1,0.85,0.9,0.77,0.84,0.78,2.85,0.94,0.99,0.95,0.83,0.85,0.99,1.07,0.67,0.95,1.01
h_1,0.87,1.07,1.0,0.76,0.75,0.85,1.82,0.97,1.25,1.02,1.05,1.12,0.85,1.04,1.41,1.05
d_0,0.78,0.88,0.63,1.54,1.01,0.68,1.0,1.44,0.91,0.64,1.02,1.05,1.0,1.13,1.05,1.02
g_1,0.78,0.81,1.35,0.83,0.73,0.79,0.97,0.79,2.23,1.18,1.06,1.54,0.97,1.17,0.81,1.2
c_0,0.86,1.0,1.0,0.72,0.62,0.85,1.21,0.98,1.17,1.59,1.86,1.2,1.24,1.43,1.21,1.24
b_0,0.86,0.97,1.01,0.9,0.59,0.66,1.15,1.07,1.12,1.02,1.74,1.18,1.17,2.08,1.2,1.13
f_0,0.72,0.81,0.97,0.95,0.92,0.86,1.12,1.06,1.16,0.98,1.19,1.79,1.11,1.07,1.21,1.97
h_0,0.87,1.1,0.97,0.87,0.76,0.72,0.78,0.92,1.22,0.97,1.06,1.17,0.82,1.04,1.32,1.08
a_0,0.83,0.99,0.94,0.96,0.83,0.47,1.15,0.98,1.15,1.0,1.13,1.15,1.31,2.04,1.14,1.02
g_0,0.75,0.77,1.31,0.92,0.84,0.79,0.99,0.89,0.94,0.97,0.97,1.53,1.04,1.13,1.06,1.43
e_0,0.69,0.93,0.93,1.06,0.88,0.89,1.09,0.91,1.13,0.91,1.08,1.01,1.08,1.17,1.02,2.17
