,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.43,2.37,1.92,2.08,1.96,1.85,0.53,0.94,0.37,0.41,0.38,0.36,0.23,0.38,0.33,0.19
e_1,2.07,0.43,1.14,2.03,2.37,1.99,0.77,0.45,0.74,0.49,0.54,0.45,0.35,0.43,1.37,0.38
f_1,1.76,1.96,0.43,1.95,2.27,2.68,0.36,0.45,0.66,0.33,0.78,0.34,0.19,0.35,0.35,0.29
c_1,2.68,1.64,2.11,0.42,1.97,2.2,0.54,0.23,0.66,1.0,0.37,0.4,0.35,0.42,0.39,0.39
b_1,2.34,2.46,3.08,1.26,0.38,1.97,0.75,0.42,0.64,0.64,0.41,1.68,0.37,0.57,0.51,0.36
a_1,2.51,2.45,2.78,3.59,1.33,0.33,1.12,0.56,0.9,0.62,0.59,0.76,0.56,1.73,0.67,0.46
h_1,3.21,3.36,3.79,3.5,3.21,2.81,0.33,0.72,1.38,0.63,0.77,0.75,0.99,0.62,0.58,0.51
d_0,7.32,2.0,4.0,3.58,4.4,3.29,1.12,0.42,1.08,0.73,0.65,0.79,0.56,0.62,0.71,0.65
g_1,4.02,3.69,3.94,4.24,4.52,3.19,0.75,0.96,0.3,0.89,0.69,0.8,0.49,0.98,0.77,0.81
c_0,1.98,4.45,3.77,8.8,4.17,2.91,1.23,1.19,1.16,0.38,0.91,1.03,0.61,0.8,0.83,0.62
f_0,3.27,4.09,8.18,3.94,4.29,3.11,1.33,0.82,0.72,0.82,0.37,0.81,0.55,0.59,0.69,0.33
b_0,3.18,3.6,4.27,6.08,7.52,3.91,1.16,1.0,1.05,0.4,0.76,0.37,0.55,0.92,0.75,0.51
h_0,4.27,3.79,5.39,4.07,5.04,3.86,2.0,0.94,1.08,0.84,0.81,0.77,1.03,0.82,0.76,0.57
a_0,3.81,4.67,4.88,5.32,6.46,10.99,1.31,1.31,1.06,0.91,0.93,0.49,0.85,0.34,0.83,0.67
e_0,4.21,9.4,7.72,5.3,4.52,3.21,1.44,1.2,1.06,0.94,0.47,0.97,0.63,0.81,0.33,0.7
g_0,4.36,5.13,6.16,4.25,3.85,4.71,1.13,1.12,2.58,0.85,1.08,1.09,0.59,0.93,0.87,0.91
