,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.01,0.1,0.1,0.09,0.1,0.21,0.13,0.17,0.25,0.17,0.2,,0.24,0.31,0.36,0.41
e_1,0.05,0.01,0.09,0.08,0.09,0.16,0.21,0.15,0.24,0.21,0.2,0.23,0.31,0.26,,0.46
d_1,0.07,0.08,0.01,0.05,0.08,0.11,0.14,0.16,0.11,,0.18,0.21,0.21,0.25,0.34,0.15
c_1,0.05,0.06,0.07,0.01,0.08,0.09,0.13,,0.16,0.09,0.19,0.15,0.22,0.2,0.23,0.23
b_1,0.04,0.05,0.06,0.03,0.01,,0.09,0.1,0.19,0.13,,0.12,0.17,0.23,0.2,0.19
a_1,0.01,0.01,0.02,0.02,,,0.03,0.04,0.05,0.03,0.04,0.03,0.05,,,
h_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
