,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.25,1.03,1.03,1.52,3.45,17.25,29.35,29.73,28.46,32.4,45.03,55.63,69.35,88.44,99.02
e_1,0.8,1.0,1.33,1.14,1.49,3.64,19.14,29.51,38.1,32.32,41.25,47.99,65.93,105.33,95.86,114.32
c_1,0.97,0.75,1.0,1.15,1.81,2.56,17.53,26.7,18.81,24.42,29.61,33.86,59.33,78.03,72.59,108.97
d_1,0.97,0.88,0.87,1.0,1.36,2.69,16.26,18.73,28.42,37.53,28.61,34.9,54.76,70.42,65.18,82.84
b_1,0.66,0.67,0.56,0.72,1.0,3.91,13.73,17.53,17.93,25.39,21.61,31.83,38.99,55.09,58.77,65.87
a_1,0.29,0.28,0.4,0.37,0.26,1.0,5.12,8.29,7.23,7.69,10.46,17.6,19.87,28.01,24.7,28.37
h_1,0.06,0.05,0.05,0.06,0.07,0.18,1.0,1.86,1.5,1.7,1.87,2.38,3.2,4.61,4.1,6.72
g_1,0.03,0.03,0.04,0.06,0.06,0.12,0.53,1.0,0.93,1.17,1.66,1.56,1.75,2.68,3.16,3.62
d_0,0.03,0.03,0.05,0.03,0.06,0.13,0.65,1.02,1.0,0.93,1.24,1.58,2.17,2.81,3.37,4.07
c_0,0.03,0.03,0.04,0.03,0.04,0.12,0.57,0.87,0.97,1.0,1.06,2.01,2.08,2.49,3.07,3.62
f_0,0.03,0.02,0.03,0.03,0.05,0.09,0.55,0.59,0.83,0.91,1.0,1.4,1.9,3.02,2.57,2.32
b_0,0.02,0.02,0.03,0.03,0.03,0.06,0.43,0.67,0.61,0.49,0.7,1.0,1.53,1.62,2.81,2.27
h_0,0.02,0.02,0.02,0.02,0.02,0.05,0.31,0.58,0.43,0.48,0.52,0.64,1.0,1.26,1.41,1.79
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.35,0.33,0.39,0.3,0.65,0.79,1.0,1.16,1.13
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.31,0.29,0.34,0.4,0.36,0.69,0.81,1.0,1.33
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.15,0.28,0.25,0.29,0.43,0.46,0.54,0.84,0.8,1.0
