,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9889.32,3053.16,6213.62,5094.2,7117.66,25881.5,5111591.15,18162950.56,8729226.12,11874936.04,24814087.73,27836494.63,88753320.46,95591620.93,96787002.55,390451751.38
f_1,4786.43,10152.44,4938.62,4764.71,7472.47,21768.19,3905507.26,9884104.74,7888490.31,10850482.58,23706176.45,10629939.48,95827985.32,108091247.16,128382523.93,361889173.83
c_1,2056.65,2337.01,23228.2,5067.61,15751.31,31322.84,4332695.91,10931724.51,9521699.08,5121217.36,17018834.48,27116025.6,77744089.55,89350841.13,174298456.26,346871339.6
d_1,2381.12,3154.38,3905.7,25840.04,7474.74,25271.67,4941983.65,4706702.93,9237091.84,23886984.89,28367778.87,26953156.21,99667442.53,136681540.02,183167845.8,320092658.58
b_1,2342.06,2405.91,6257.31,6104.61,39850.89,53533.42,3588074.66,8436765.94,6808298.61,8674211.72,8677100.83,24512323.13,105117565.56,67500163.08,154622891.49,348440339.29
a_1,2489.92,2672.81,5584.47,7103.44,7180.27,182285.48,4456889.02,9038353.32,10018121.92,11985388.31,27582637.59,24424050.99,89445533.55,61336151.83,159354278.51,359446334.66
h_1,3080.84,4945.04,6034.83,6549.42,8475.33,23743.47,13442645.9,10642628.7,11209719.82,14821290.89,28981516.78,32746931.68,68875783.98,157139141.11,196107081.89,502903582.49
d_0,2692.8,3420.93,12366.43,3441.33,11964.49,27207.86,5532628.49,22592206.45,8787256.59,10800790.12,26940522.63,35496952.08,117694225.11,120526954.86,240297471.77,444243575.28
g_1,2529.4,3014.75,5775.65,11476.05,10189.95,24948.36,5317200.3,12764010.4,29911745.74,17284729.36,33552135.11,44474636.13,106908951.5,135423462.05,248971499.41,274200435.7
c_0,3305.65,3809.47,4037.59,8689.11,5889.1,27393.42,6473856.3,10882819.95,11219396.28,30915113.19,67329035.63,34578555.97,126746074.72,175848491.84,232354959.12,498515577.02
b_0,3411.51,3484.37,6429.0,7805.85,4720.72,31639.66,7438238.97,11926655.11,10621313.07,14539852.51,62342200.2,39037993.33,103912064.88,299705730.92,236548149.52,555601457.88
f_0,2459.56,2218.48,6698.4,7700.95,10037.27,44276.1,5357483.55,13416059.76,11613313.91,16682706.0,39360459.13,71276339.22,120165201.43,170165316.47,493472960.28,479827310.5
h_0,3312.42,4937.78,6345.25,6739.97,9248.99,29909.52,2989379.29,10694170.88,12884193.26,12264930.49,34253441.83,30516186.05,72753924.97,139331014.78,228774607.75,597622753.85
a_0,3422.04,3457.23,7672.36,6991.25,7732.75,22288.71,5637442.9,14167725.1,10075820.87,15402110.39,33186914.76,34258871.04,143987380.64,345403999.75,275294527.41,471809735.67
e_0,1737.69,3602.57,7304.09,7316.94,11088.33,34385.27,5620643.15,11305266.36,11101937.74,17389403.97,37074524.77,35192692.49,135803367.22,149367333.35,610755033.84,519858617.55
g_0,3324.4,2444.44,5283.25,12019.73,11852.96,32175.21,5400343.42,10643407.41,8026849.32,13583661.66,29583422.0,53109225.41,124128984.11,126836184.96,235085035.24,319884873.67
