,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,10378.98,3876.06,5105.5,10342.05,14231.97,37902.96,6533282.47,8146182.56,27784376.7,17937756.85,43074642.15,32557314.8,181512036.46,143006422.03,264000990.05,553881691.01
d_1,3845.98,13006.84,5574.49,5933.47,12619.47,47806.19,6725882.71,8726321.76,9324415.44,33822765.09,37956945.39,44869232.57,179667769.28,180038760.93,289707294.08,524814880.11
f_1,6413.16,4293.19,14982.92,8451.78,11399.61,35517.33,6469630.31,6485165.45,15175619.88,18919843.81,15778664.66,34804653.44,130946110.99,100917866.65,250858973.71,492948435.68
c_1,3714.1,4480.61,4903.29,25830.7,24758.94,47412.03,6025643.16,7675622.49,14459192.01,9752816.26,33695412.67,24573450.12,178824847.65,139108692.54,179937236.89,405398719.15
b_1,3043.23,4913.31,5506.01,7899.5,47459.25,95495.23,6854604.72,7557369.51,14372986.2,19109821.13,33441602.92,23804101.6,174934251.97,178168633.16,145127309.31,475307073.46
a_1,3730.77,5039.62,6216.42,8896.53,12398.93,211632.25,7400129.6,7853614.49,15340992.33,20885005.62,32144397.25,40678308.03,192469398.33,175656957.2,171844526.18,532316222.08
h_1,4110.73,5774.54,7290.77,9230.92,15118.86,47460.81,15293980.67,10681032.84,15239673.27,19217336.9,37889726.13,34477855.06,142167728.79,202898163.72,262197377.89,820753054.51
g_1,3767.05,7759.39,4678.4,9104.43,14527.76,48378.39,6856370.93,17772739.13,15486185.05,21546880.36,56722356.6,39556380.26,182242947.52,213275313.63,241742058.68,435676574.71
d_0,4052.42,3685.76,5043.45,17062.48,16023.1,54048.17,7457467.92,8246909.12,26904573.17,14411726.71,39863442.41,28743640.06,192284817.1,197091500.0,217893141.93,580232544.84
c_0,4414.78,5997.69,6669.34,7450.14,10676.86,46826.51,7973120.42,9287235.35,15449197.31,36824949.02,42211986.31,74648565.26,224643698.86,197027394.78,379220026.79,511400799.42
f_0,3492.16,6033.77,4230.6,10514.75,14464.19,56828.96,7193209.99,9562242.48,20531859.74,19071551.86,71521575.45,38315129.71,222011055.67,385937994.54,262651587.4,685264872.99
b_0,3938.84,5704.2,6757.2,8770.84,9801.39,38882.98,7982708.64,8552894.66,17475955.04,23394436.95,41635774.28,72287878.04,226407314.2,192968997.27,585713039.9,634504512.03
h_0,3561.12,5872.28,8142.51,9339.69,14142.38,54348.87,5109130.33,11451489.03,17516980.01,20427953.4,37962155.0,44118180.14,126552439.71,208939950.08,267265228.65,707949545.05
e_0,2721.8,6390.88,6335.82,10164.5,16223.28,59771.13,7222032.95,10140530.47,18229017.27,20194048.91,36476003.48,39453636.42,237021138.36,413217338.5,298522289.91,690340909.09
a_0,3915.36,5535.45,6461.57,10381.71,17137.57,27239.45,8248616.18,8805231.61,19024797.36,19250347.66,44373709.59,46816299.11,224209184.94,224641082.69,640459480.15,653936212.71
g_0,3808.58,7555.69,5305.05,9711.39,13679.73,44196.0,8227645.12,7543712.85,15904730.59,22066977.47,57767242.12,35376838.2,229288924.28,250046919.42,276276638.49,430114746.09
